Column,Notice Date,Effective Date,Received Date,Company,Company 2,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean
3948,04/06/2020,04/13/2020,04/21/2020,Mesa Rim Climbing & Fitness Center,Mesa Rim Climbing & Fitness Center,San Diego,San Diego County,67.0,Layoff Temporary,San Diego County,2020,layoff temporary
3949,03/31/2020,03/31/2020,04/21/2020,Almighty Plumbing and Drains Services Inc.,Almighty Plumbing and Drains Services Inc.,La Mesa,San Diego County,1.0,Layoff Temporary,San Diego County,2020,layoff temporary
3950,04/09/2020,04/10/2020,04/21/2020,VSP Global,VSP Global,Vista,San Diego County,93.0,Layoff Temporary,San Diego County,2020,layoff temporary
3951,04/07/2020,03/17/2020,04/21/2020,St. Francis Yacht Club,St. Francis Yacht Club,San Francisco,San Francisco County,78.0,Layoff Temporary,San Francisco County,2020,layoff temporary
3952,04/06/2020,05/04/2020,04/21/2020,"Metromile, Inc.","Metromile, Inc.",San Francisco,San Francisco County,60.0,Layoff Permanent,San Francisco County,2020,layoff permanent
3953,04/08/2020,03/16/2020,04/21/2020,"Benihana International Inc, dba Benihana SanFrancisco","Benihana International Inc, dba Benihana SanDiego",San Francisco,San Francisco County,58.0,Layoff Temporary,San Francisco County,2020,layoff temporary
3954,04/08/2020,03/31/2020,04/21/2020,Burlington Coat Factory of Texas Inc. dbaBurlington #114,Burlington Coat Factory,San Francisco,San Francisco County,63.0,Closure Temporary,San Francisco County,2020,closure temporary
3955,04/08/2020,03/31/2020,04/21/2020,Burlington Coat Factory of Texas Inc. dbaBurlington #828,Burlington Coat Factory,Manteca,San Joaquin County,55.0,Closure Temporary,San Joaquin County,2020,closure temporary
3956,04/08/2020,03/17/2020,04/21/2020,C3 Concrete Surface Inc.,C3 Concrete Surface Inc.,South San Francisco,San Mateo County,23.0,Layoff Temporary,San Mateo County,2020,layoff temporary
3957,04/08/2020,03/31/2020,04/21/2020,Burlington Coat Factory of Texas Inc. dbaBurlington #182,Burlington Coat Factory,Daly City,San Mateo County,34.0,Closure Temporary,San Mateo County,2020,closure temporary
3958,03/30/2020,04/03/2020,04/21/2020,Best Western El Rancho Inn,Best Western El Rancho Inn,Millbrae,San Mateo County,74.0,Closure Temporary,San Mateo County,2020,closure temporary
3959,04/09/2020,03/20/2020,04/21/2020,"Bright Horizons, 2nd Generation at Cabot",BRIGHT HORIZONS CHILDRENS CENTERS,South San Francisco,San Mateo County,102.0,Layoff Temporary,San Mateo County,2020,layoff temporary
3960,03/30/2020,03/31/2020,04/21/2020,"Harrell Hospitality Group, California, Inc. DBASanta Ynez Valley Marriott","Harrel Hospitality Group, California, Inc",Buellton,Santa Barbara County,104.0,Layoff Permanent,Santa Barbara County,2020,layoff permanent
3961,04/06/2020,04/13/2020,04/21/2020,PVH Corp - Great Mall of the Bay Area,PVH Corp - Great Mall of the Bay Area,Milpitas,Santa Clara County,105.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
3962,04/08/2020,03/31/2020,04/21/2020,Burlington Coat Factory of Texas Inc. dbaBurlington #134,Burlington Coat Factory,San Jose,Santa Clara County,43.0,Closure Temporary,Santa Clara County,2020,closure temporary
3963,04/08/2020,03/31/2020,04/21/2020,Burlington Coat Factory of Texas Inc. dbaBurlington #224,Burlington Coat Factory,Milpitas,Santa Clara County,93.0,Closure Temporary,Santa Clara County,2020,closure temporary
3964,04/08/2020,03/16/2020,04/21/2020,"Benihana International Inc, dba BenihanaCupertino","Benihana International Inc, dba Benihana SanDiego",Cupertino,Santa Clara County,76.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
3965,04/08/2020,03/28/2020,04/21/2020,Corovan Corporation,Corovan Corporation,San Jose,Santa Clara County,36.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
3966,04/09/2020,03/17/2020,04/21/2020,Bright Horizons-LifeConnections Children'sLearning Center,BRIGHT HORIZONS CHILDRENS CENTERS,Milpitas,Santa Clara County,104.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
3967,04/09/2020,03/19/2020,04/21/2020,Corovan (dba Klinger Moving Company),Corovan,San Jose,Santa Clara County,32.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
3968,03/23/2020,03/22/2020,04/21/2020,"Driven Brands Shared Services, LLC","Driven Brands Shared Services, LLC",Benicia,Solano County,7.0,Layoff Temporary,Solano County,2020,layoff temporary
3969,04/08/2020,03/31/2020,04/21/2020,Burlington Coat Factory in Texas Inc. dbaBurlington #309,Burlington Coat Factory,Rohnert Park,Sonoma County,43.0,Closure Temporary,Sonoma County,2020,closure temporary
3970,04/08/2020,04/08/2020,04/21/2020,Charles Fenley Enterprises,Charles Fenley Enterprises,Modesto,Stanislaus County,68.0,Closure Temporary,Stanislaus County,2020,closure temporary
3971,03/24/2020,03/17/2020,04/21/2020,Dave & Buster&rsquo;s,Dave & Buster's,Thousand Oaks,Ventura County,106.0,Layoff Temporary,Ventura County,2020,layoff temporary
3972,03/26/2020,03/26/2020,04/21/2020,The Container Store,The Container Store,Oxnard,Ventura County,33.0,Closure Temporary,Ventura County,2020,closure temporary
3973,04/08/2020,03/31/2020,04/21/2020,Burlington Coat Factory of Texas Inc. dbaBurlington #773,Burlington Coat Factory,Thousand Oaks,Ventura County,48.0,Closure Temporary,Ventura County,2020,closure temporary
3974,04/08/2020,03/31/2020,04/21/2020,Burlington Coat Factory of Texas Inc. dbaBurlington #323,Burlington Coat Factory,Ventura,Ventura County,70.0,Closure Temporary,Ventura County,2020,closure temporary
3975,04/09/2020,03/18/2020,04/21/2020,Bright Horizons-Camp Amgen,BRIGHT HORIZONS CHILDRENS CENTERS,Newbury Park,Ventura County,104.0,Layoff Temporary,Ventura County,2020,layoff temporary
3976,04/05/2020,03/17/2020,04/20/2020,Beets Hospitality Group,Beets Hospitality Group,Livermore,Alameda County,93.0,Layoff Temporary,Alameda County,2020,layoff temporary
3977,03/30/2020,03/17/2020,04/20/2020,Selland Family Restaurants (dba SellandMarket Caf&eacute;),Selland Family Restaurants,El Dorado Hills,El Dorado County,41.0,Layoff Temporary,El Dorado County,2020,layoff temporary
3978,04/07/2020,03/18/2020,04/20/2020,Aramark&rsquo;s,"Aramark Services, Inc.",South Lake Tahoe,El Dorado County,71.0,Layoff Temporary,El Dorado County,2020,layoff temporary
3979,03/26/2020,06/01/2020,04/20/2020,Johns Manville,Johns Manville,Willows,Glenn County,13.0,Layoff Temporary,Glenn County,2020,layoff temporary
3980,03/30/2020,03/16/2020,04/20/2020,Granville Cafe,Granville Cafe,Encino,Los Angeles County,13.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3981,03/27/2020,05/28/2020,04/20/2020,Wesco Hardware Corp.,Wesco Hardware Corp.,Valencia,Los Angeles County,5.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
3982,04/07/2020,03/16/2020,04/20/2020,"Granville Management Group, Inc.","Granville Management Group, Inc.",Studio City,Los Angeles County,189.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3983,04/07/2020,03/16/2020,04/20/2020,"Granville Management Group, Inc. DBAGranville Pasadena, LLC","Granville Management Group, Inc.",Pasadena,Los Angeles County,100.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3984,04/07/2020,03/23/2020,04/20/2020,"West Covina Motor Group, LLC dba WestCovina Nissan","West Covina Motor Group, LLC",West Covina,Los Angeles County,63.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3985,04/08/2020,04/06/2020,04/20/2020,"Judco Manufacturing, Inc","Judco Manufacturing, Inc",Harbor City,Los Angeles County,71.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3986,04/08/2020,03/20/2020,04/20/2020,Nobu Malibu,Nobu Malibu,Malibu,Los Angeles County,221.0,Closure Temporary,Los Angeles County,2020,closure temporary
3987,04/08/2020,03/20/2020,04/20/2020,Nobu-Los Angeles,Nobu-Los Angeles,Los Angeles,Los Angeles County,88.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3988,04/07/2020,04/16/2020,04/20/2020,"Granville Management Group, Inc.  DBACommunity Restaurants, Inc.","Granville Management Group, Inc.",Burbank,Los Angeles County,150.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3989,04/03/2020,04/02/2020,04/20/2020,"4Earth Farms, LLC.","4Earth Farms, LLC.",Los Angeles,Los Angeles County,35.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3990,04/03/2020,03/27/2020,04/20/2020,The Ebell of Los Angeles,The Ebell of Los Angeles,Los Angeles,Los Angeles County,94.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3991,04/03/2020,03/18/2020,04/20/2020,Hilton Los Angeles Airport- Fortuna Enterprises,Hilton,Los Angeles,Los Angeles County,321.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3992,04/06/2020,03/15/2020,04/20/2020,Craft Worldwide Holding Crafted Hospitalitydba Craft,Craft Worldwide Holding Crafted Hospitalitydba Craft,Los Angeles,Los Angeles County,71.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3993,04/06/2020,03/12/2020,04/20/2020,Hilton Garden Inn by Hilton Los AngelesMarina Del Rey,Hilton,Marina Del Rey,Los Angeles County,16.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3994,04/06/2020,04/06/2020,04/20/2020,Divergent Technologies Inc.,Divergent Technologies Inc.,Torrance,Los Angeles County,57.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
3995,04/06/2020,04/06/2020,04/20/2020,Hampton Inn & Suites Palmdale,Hampton Inn & Suites,Palmdale,Los Angeles County,13.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3996,03/31/2020,03/19/2020,04/20/2020,"Dillard Store Services Inc., dba Dillard's","Dillard Store Services Inc., dba Dillard's",Palmdale,Los Angeles County,100.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
3997,04/06/2020,04/03/2020,04/20/2020,"EFE Ruby's Diner, LLC","EFE Ruby's Diner, LLC",Newport Beach,Orange County,30.0,Layoff Temporary,Orange County,2020,layoff temporary
3998,04/06/2020,04/06/2020,04/20/2020,FMH Aerospace Corp,FMH Aerospace Corp,Irvine,Orange County,98.0,Layoff Temporary,Orange County,2020,layoff temporary
3999,04/03/2020,04/12/2020,04/20/2020,"Nobel Biocare USA, LLC","Nobel Biocare USA, LLC",Yorba Linda,Orange County,357.0,Layoff Temporary,Orange County,2020,layoff temporary
4000,04/03/2020,04/06/2020,04/20/2020,Ormco,Ormco,Brea,Orange County,61.0,Layoff Temporary,Orange County,2020,layoff temporary
4001,04/03/2020,03/30/2020,04/20/2020,Diamond Resorts Centralized,Diamond Resorts Centralized,Capistrano Beach,Orange County,25.0,Layoff Temporary,Orange County,2020,layoff temporary
4002,04/08/2020,03/17/2020,04/20/2020,Nobu Newport LLC,Nobu Newport LLC,Newport Beach,Orange County,117.0,Closure Temporary,Orange County,2020,closure temporary
4003,04/01/2020,04/03/2020,04/20/2020,STANCE,STANCE,San Clemente,Orange County,65.0,Layoff Unknown at thistime,Orange County,2020,layoff type unknown
4004,04/08/2020,04/13/2020,04/20/2020,Medieval Times,Medieval Times,Buena Park,Orange County,253.0,Layoff Temporary,Orange County,2020,layoff temporary
4005,04/03/2020,03/30/2020,04/20/2020,Diamond Resorts Centralized ServicesCompany,Diamond Resorts Centralized,Palm Springs,Riverside County,39.0,Layoff Temporary,Riverside County,2020,layoff temporary
4006,04/07/2020,03/13/2020,04/20/2020,"Toscana Country Club, Inc.","Toscana Country Club, Inc.",Indian Wells,Riverside County,201.0,Layoff Temporary,Riverside County,2020,layoff temporary
4007,04/07/2020,04/04/2020,04/20/2020,"Andalusia Country Club, LLC.","Andalusia Country Club, LLC.",La Quinta,Riverside County,38.0,Layoff Temporary,Riverside County,2020,layoff temporary
4008,04/07/2020,04/09/2020,04/20/2020,"ClubCorp Teal Bend Golf Club, Inc.","ClubCorp Teal Bend Golf Club, Inc.",Sacramento,Sacramento County,51.0,Closure Permanent,Sacramento County,2020,closure permanent
4009,04/07/2020,03/20/2020,04/20/2020,Sacramento Laundry,Sacramento Laundry,Sacramento,Sacramento County,240.0,Layoff Temporary,Sacramento County,2020,layoff temporary
4010,04/06/2020,04/01/2020,04/20/2020,Picante Restaurant - Maiz Holding Company,Picante Restaurant - Maiz Holding Company,Sacramento,Sacramento County,77.0,Layoff Temporary,Sacramento County,2020,layoff temporary
4011,03/16/2020,03/16/2020,04/20/2020,Aramark - Folsom Lake College,Aramark - Folsom Lake College,Folsom,Sacramento County,16.0,Layoff Temporary,Sacramento County,2020,layoff temporary
4012,04/06/2020,03/12/2020,04/20/2020,Residence Inn by Marriott Ontario,Residence Inn ,Ontario,San Bernardino County,6.0,Layoff Temporary,San Bernardino County,2020,layoff temporary
4013,04/08/2020,03/31/2020,04/20/2020,WALKER CORPORATION,WALKER CORPORATION,Ontario,San Bernardino County,76.0,Layoff Temporary,San Bernardino County,2020,layoff temporary
4014,04/07/2020,04/07/2020,04/20/2020,"West CCRA, LLC DBA West SteakandSeafood","West CCRA, LLC DBA West SteakandSeafood",Carlsbad,San Diego County,55.0,Layoff Temporary,San Diego County,2020,layoff temporary
4015,04/06/2020,03/20/2020,04/20/2020,Image Source,Image Source,San Diego,San Diego County,1.0,Layoff Temporary,San Diego County,2020,layoff temporary
4016,04/06/2020,04/06/2020,04/20/2020,"Stone Brewing Co., LLC","Stone Brewing Co., LLC",Escondido,San Diego County,306.0,Layoff Permanent,San Diego County,2020,layoff permanent
4017,04/03/2020,04/03/2020,04/20/2020,Callaway Golf Company,Callaway Golf Company,Carlsbad,San Diego County,75.0,Layoff Permanent,San Diego County,2020,layoff permanent
4018,04/06/2020,03/12/2020,04/20/2020,Residence Inn by Marriott San DiegoDowntown Gaslamp,Residence Inn ,San Diego,San Diego County,29.0,Layoff Temporary,San Diego County,2020,layoff temporary
4019,04/06/2020,03/12/2020,04/20/2020,Marriott Hyatt House Belmont,Marriott Hyatt House Belmont,San Diego,San Diego County,1.0,Layoff Temporary,San Diego County,2020,layoff temporary
4020,04/06/2020,03/16/2020,04/20/2020,5th & Market Group LLC,5th & Market Group LLC,San Diego,San Diego County,138.0,Layoff Temporary,San Diego County,2020,layoff temporary
4021,04/06/2020,04/07/2020,04/20/2020,Newfront Insurance Inc,Newfront Insurance Inc,San Francisco,San Francisco County,94.0,Layoff Temporary,San Francisco County,2020,layoff temporary
4022,04/08/2020,04/08/2020,04/20/2020,"Eventbrite, Inc. dba Eventbrite","Eventbrite, Inc. dba Eventbrite",San Francisco,San Francisco County,124.0,Layoff Permanent,San Francisco County,2020,layoff permanent
4023,03/31/2020,03/19/2020,04/20/2020,"Dillard Store Services, Inc., dba Dillard's","Dillard Store Services Inc., dba Dillard's",Stockton,San Joaquin County,166.0,Layoff Temporary,San Joaquin County,2020,layoff temporary
4024,04/01/2020,04/19/2020,04/20/2020,"In-Shape Health Clubs, LLC",In-Shape Health Clubs,Stockton,San Joaquin County,250.0,Closure Temporary,San Joaquin County,2020,closure temporary
4025,04/07/2020,03/23/2020,04/20/2020,Oh My Green,Oh My Green,Burlingame,San Mateo County,401.0,Layoff Temporary,San Mateo County,2020,layoff temporary
4026,04/07/2020,03/16/2020,04/20/2020,Aramark,Aramark,San Bruno,San Mateo County,68.0,Layoff Temporary,San Mateo County,2020,layoff temporary
4027,04/06/2020,03/12/2020,04/20/2020,Residence Inn by Marriott San Jose South,Residence Inn ,San Jose,Santa Clara County,4.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
4028,04/03/2020,04/03/2020,04/20/2020,Allison Bavarian dba BMW of Mountain View,Allison Bavarian dba BMW of Mountain View,Mountain View,Santa Clara County,43.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
4029,04/07/2020,04/08/2020,04/20/2020,Pacific Bay Masonry,Pacific Bay Masonry,San Jose,Santa Clara County,26.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
4030,04/08/2020,06/08/2020,04/20/2020,Adventist Health Sonora,Adventist Health Bakersfield,Sonora,Tuolumne County,20.0,Layoff Permanent,Tuolumne County,2020,layoff permanent
4031,04/02/2020,03/30/2020,04/20/2020,"Guitar Center, Inc","Guitar Center, Inc",Westlake Village,Ventura County,74.0,Layoff Temporary,Ventura County,2020,layoff temporary
4032,04/08/2020,04/08/2020,04/20/2020,CarMax Oxnard,CarMax,Oxnard,Ventura County,192.0,Layoff Temporary,Ventura County,2020,layoff temporary
4033,04/02/2020,04/07/2020,04/20/2020,HRLY Retail LLC,HARL Retail LLC,Camarillo,Ventura County,12.0,Layoff Temporary,Ventura County,2020,layoff temporary
4034,04/06/2020,04/05/2020,04/20/2020,H&M Hennes & Mauritz LP,H&M Hennes & Mauritz LP,Oxnard,Ventura County,34.0,Layoff Temporary,Ventura County,2020,layoff temporary
4035,04/06/2020,04/05/2020,04/20/2020,H&M Hennes & Mauritz LP,H&M Hennes & Mauritz LP,Thousand Oaks,Ventura County,23.0,Layoff Temporary,Ventura County,2020,layoff temporary
4036,04/07/2020,03/19/2020,04/20/2020,Hunter Douglas Fabrication,Hunter Douglas Fabrication,West Sacramento,Yolo County,99.0,Layoff Temporary,Yolo County,2020,layoff temporary
4037,04/07/2020,03/16/2020,04/20/2020,Aramark at USC Galen Center,Aramark at USC Galen Center,Los Angeles,Los Angeles County,411.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4038,03/31/2020,03/27/2020,04/20/2020,"AmTote International, Inc. - Pomona Racetrack","AmTote International, Inc.",Pomona,Los Angeles County,1.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4039,03/31/2020,03/27/2020,04/20/2020,"AmTote International, Inc. - Hollywood Park","AmTote International, Inc.",Inglewood,Los Angeles County,1.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4040,03/31/2020,03/27/2020,04/20/2020,"AmTote International, Inc. - Lancaster ITW","AmTote International, Inc.",Lancaster,Los Angeles County,1.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4041,04/07/2020,03/13/2020,04/20/2020,Aramark - Yosemite,"Aramark Services, Inc.",Yosemite National Park,Mariposa County,1829.0,Layoff Temporary,Mariposa County,2020,layoff temporary
4042,03/31/2020,03/27/2020,04/20/2020,"AmTote International, Inc. - Los Alamitos","AmTote International, Inc.",Cypress,Orange County,7.0,Layoff Temporary,Orange County,2020,layoff temporary
4043,04/03/2020,03/16/2020,04/20/2020,Avis Budget Car Rental Services Inc.,"Avis Budget Car Rental, LLC",San Diego,San Diego County,125.0,Layoff Temporary,San Diego County,2020,layoff temporary
4044,03/31/2020,03/27/2020,04/20/2020,"AmTote International, Inc. - Viejas Casino &Turf Club","AmTote International, Inc.",Alpine,San Diego County,1.0,Layoff Temporary,San Diego County,2020,layoff temporary
4045,04/02/2020,03/16/2020,04/20/2020,The Park Central San Francisco,The Park Central San Francisco,San Francisco,San Francisco County,230.0,Layoff Temporary,San Francisco County,2020,layoff temporary
4046,04/08/2020,03/24/2020,04/20/2020,Therma,Therma,San Jose,Santa Clara County,447.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
4047,04/06/2020,03/15/2020,04/20/2020,Hilton Hotel Employer LLC DBA HiltonOakland Airport,Hilton Hotel Employer LLC,Oakland,Alameda County,123.0,Layoff Temporary,Alameda County,2020,layoff temporary
4048,04/06/2020,04/06/2020,04/20/2020,"Precision Founders, Inc - PCC Structurals","Precision Founders, Inc - PCC Structurals",San Leandro,Alameda County,71.0,Layoff Temporary,Alameda County,2020,layoff temporary
4049,04/02/2020,03/24/2020,04/20/2020,Pancakes 1702 INC,Pancakes INC,Chico,Butte County,45.0,Layoff Unknown at thistime,Butte County,2020,layoff type unknown
4050,03/20/2020,03/18/2020,04/20/2020,"Maya Pittsburg Cinemas, LLC","Maya Pittsburg Cinemas, LLC",Pittsburg,Contra Costa County,52.0,Layoff Temporary,Contra Costa County,2020,layoff temporary
4051,03/20/2020,03/18/2020,04/20/2020,"Campus Pointe Cinemas Operating Company,LLC","Campus Pointe Cinemas Operating Company,LLC",Fresno,Fresno County,65.0,Layoff Temporary,Fresno County,2020,layoff temporary
4052,03/20/2020,03/18/2020,04/20/2020,"Maya Bakersfield Cinemas OperatingCompany, LLC","Maya Bakersfield Cinemas OperatingCompany, LLC",Bakersfield,Kern County,60.0,Layoff Temporary,Kern County,2020,layoff temporary
4053,03/20/2020,03/18/2020,04/20/2020,"Maya Delano Cinemas Operating Company,LLC","Maya Delano Cinemas Operating Company,LLC",Delano,Kern County,46.0,Layoff Temporary,Kern County,2020,layoff temporary
4054,04/02/2020,04/06/2020,04/20/2020,The Private Suite Holdings LLC,The Private Suite Holdings LLC,Los Angeles,Los Angeles County,82.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4055,04/03/2020,03/30/2020,04/20/2020,RR Donnelley,RR Donnelley,Los Angeles,Los Angeles County,50.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4056,04/06/2020,03/16/2020,04/20/2020,9010 Melrose Avenue LLC dba Olivetta,9010 Melrose Avenue LLC dba Olivetta,West Hollywood,Los Angeles County,87.0,Closure Permanent,Los Angeles County,2020,closure permanent
4057,04/06/2020,03/17/2020,04/20/2020,"Waldorf Astoria Employer LLC, dba WaldorfAstoria Beverly Hills",Waldorf Astoria ,Beverly Hills,Los Angeles County,383.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4058,04/08/2020,03/27/2020,04/20/2020,Crowne Plaza Hotel LAX,Crowne Plaza Hotel LAX,Los Angeles,Los Angeles County,181.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4059,03/27/2020,03/30/2020,04/20/2020,"PatientPop, Inc.","PatientPop, Inc.",Santa Monica,Los Angeles County,122.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4060,04/02/2020,03/18/2020,04/20/2020,"BHP Holding Partners, Ltd - Beverly HillsPorsche","BHP Holding Partners, Ltd - Beverly HillsPorsche",Los Angeles,Los Angeles County,107.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4061,03/20/2020,03/20/2020,04/20/2020,"Ventura Colfax LLC, dba Firefly","Ventura Colfax LLC, dba Firefly",Studio City,Los Angeles County,96.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4062,03/24/2020,03/24/2020,04/20/2020,"Cerritos Dodge Inc., dba Cerritos DodgeChrysler Jeep Ram","Cerritos Dodge Inc., dba Cerritos DodgeChrysler Jeep Ram",Cerritos,Los Angeles County,37.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4063,03/25/2020,03/16/2020,04/20/2020,"Benihana International Inc, dba BenihanaPuente Hills","Benihana International Inc, dba Benihana SanDiego",City of Industry,Los Angeles County,85.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
4064,04/06/2020,04/05/2020,04/20/2020,Scales Seafood & Steaks,Scales Seafood & Steaks,Monterey,Monterey County,75.0,Layoff Temporary,Monterey County,2020,layoff temporary
4065,03/20/2020,03/18/2020,04/20/2020,"Maya Salinas Operating Company, LLC","Maya Salinas Operating Company, LLC",Salinas,Monterey County,49.0,Layoff Temporary,Monterey County,2020,layoff temporary
4066,04/03/2020,04/03/2020,04/20/2020,CMC Rebar West,CMC Rebar West,Napa,Napa County,25.0,Layoff Temporary,Napa County,2020,layoff temporary
4067,04/01/2020,04/01/2020,04/20/2020,"Systems Paving, Inc.","Systems Paving, Inc",Santa Ana,Orange County,65.0,Layoff Temporary,Orange County,2020,layoff temporary
4068,04/03/2020,04/03/2020,04/20/2020,3 Day Blinds,3 Day Blinds,Irvine,Orange County,283.0,Layoff Temporary,Orange County,2020,layoff temporary
4069,04/03/2020,03/26/2020,04/20/2020,Hilton Hotel Employer LLC dba HiltonIrvine/Orange County Airport,Hilton Hotel Employer LLC,Irvine,Orange County,110.0,Layoff Temporary,Orange County,2020,layoff temporary
4070,04/06/2020,03/22/2020,04/20/2020,Hilton Hotel Employer LLC dba Hilton Anaheim,Hilton Hotel Employer LLC,Anaheim,Orange County,1038.0,Layoff Temporary,Orange County,2020,layoff temporary
4071,04/06/2020,03/18/2020,04/20/2020,"Bigger, Farther, Faster LLC dba RampLogistics LLC","Bigger, Farther, Faster LLC dba RampLogistics LLC",Irvine,Orange County,38.0,Layoff Permanent,Orange County,2020,layoff permanent
4072,04/07/2020,04/09/2020,04/20/2020,"ClubCorp Turkey Creek Golf Club, Inc.","ClubCorp Turkey Creek Golf Club, Inc.",Lincoln,Placer County,43.0,Closure Permanent,Placer County,2020,closure permanent
4073,04/02/2020,03/24/2020,04/20/2020,"Pancakes, Inc",Pancakes INC,Sacramento,Sacramento County,327.0,Layoff Unknown at thistime,Sacramento County,2020,layoff type unknown
4074,04/07/2020,04/09/2020,04/20/2020,"Empire Ranch, LLC DBA Empire Ranch GolfClub","Empire Ranch, LLC DBA Empire Ranch GolfClub",Folsom,Sacramento County,69.0,Closure Permanent,Sacramento County,2020,closure permanent
4075,04/01/2020,04/01/2020,04/20/2020,Shamrock Foods Company,Shamrock Foods Company,Sacramento,Sacramento County,14.0,Layoff Temporary,Sacramento County,2020,layoff temporary
4076,04/03/2020,03/20/2020,04/20/2020,Doubletree Hotels - San Diego-Mission Valley,Doubletree Hotels,San Diego,San Diego County,137.0,Layoff Temporary,San Diego County,2020,layoff temporary
4077,04/06/2020,03/20/2020,04/20/2020,"Curio Employer LLC, dba Hotel del Coronado",Curio Employer LLC,Coronado,San Diego County,1064.0,Layoff Temporary,San Diego County,2020,layoff temporary
4078,04/08/2020,03/17/2020,04/20/2020,"Benihana International Inc, dba Benihana SanDiego","Benihana International Inc, dba Benihana SanDiego",San Diego,San Diego County,114.0,Layoff Temporary,San Diego County,2020,layoff temporary
4079,04/01/2020,04/01/2020,04/20/2020,Systems Pavers,Systems Pavers,San Marcos,San Diego County,8.0,Layoff Temporary,San Diego County,2020,layoff temporary
4080,06/23/2020,04/10/2020,04/20/2020,Saks Fifth Avenue,Saks Fifth Avenue,San Francisco,San Francisco County,166.0,Layoff Temporary,San Francisco County,2020,layoff temporary
4081,04/01/2020,03/31/2020,04/20/2020,Cafe Venue dba Cafe Venue Fifth Street,Cafe Venue,San Francisco,San Francisco County,12.0,Layoff Unknown at thistime,San Francisco County,2020,layoff type unknown
4082,04/01/2020,03/31/2020,04/20/2020,Cafe Venue dba Cafe Venue Fremont,Cafe Venue,San Francisco,San Francisco County,12.0,Layoff Unknown at thistime,San Francisco County,2020,layoff type unknown
4083,04/01/2020,03/31/2020,04/20/2020,Cafe Venue dba Cafe Venue Montgomery,Cafe Venue,San Francisco,San Francisco County,14.0,Layoff Unknown at thistime,San Francisco County,2020,layoff type unknown
4084,04/01/2020,03/31/2020,04/20/2020,Local Roots,Local Roots,San Francisco,San Francisco County,9.0,Layoff Unknown at thistime,San Francisco County,2020,layoff type unknown
4085,04/02/2020,03/24/2020,04/20/2020,Pancakes 3546 INC,Pancakes INC,Stockton,San Joaquin County,33.0,Layoff Unknown at thistime,San Joaquin County,2020,layoff type unknown
4086,04/06/2020,04/06/2020,04/20/2020,Courtyard by Marriott Paso Robles,Courtyard by Marriott,Paso Robles,San Luis Obispo County,20.0,Layoff Temporary,San Luis Obispo County,2020,layoff temporary
4087,04/03/2020,03/19/2020,04/20/2020,The FruitGuys,The FruitGuys,South San Francisco,San Mateo County,50.0,Layoff Temporary,San Mateo County,2020,layoff temporary
4088,04/07/2020,03/06/2020,04/20/2020,"Embassy Suites Employer LLC, dba EmbassySuites by Hilton San Francisco-Airport-Waterfront",Embassy Suites,Burlingame,San Mateo County,48.0,Layoff Temporary,San Mateo County,2020,layoff temporary
4089,04/08/2020,03/16/2020,04/20/2020,"Benihana International Inc, dba BenihanaBurlingame","Benihana International Inc, dba Benihana SanDiego",Burlingame,San Mateo County,66.0,Layoff Temporary,San Mateo County,2020,layoff temporary
