Column,Notice Date,Effective Date,Received Date,Company,Company 2,City,County,Employees,Layoff/Closure,Year
2351,03/30/2020,04/01/2020,05/20/2020,"S J Automotive, LLC dba Lexus of StevensCreek","S J Automotive, LLC dba Lexus of StevensCreek",Santa Clara,Santa Clara County,122.0,layoff temporary,2020
2352,03/23/2020,03/31/2020,05/19/2020,"Andersen America, Inc.","Andersen America, Inc.",Hayward,Alameda County,193.0,closure permanent,2020
2353,03/31/2020,05/31/2020,05/19/2020,ITRenew,ITRenew,Newark,Alameda County,97.0,closure permanent,2020
2354,03/24/2020,03/24/2020,05/19/2020,"Pizza my Heart, Inc.",Pizza My Heart Inc.,Walnut Creek,Contra Costa County,4.0,layoff temporary,2020
2355,04/06/2020,04/04/2020,05/19/2020,Heavenly Ski Resort,Heavenly Ski Resort,South Lake Tahoe,El Dorado County,137.0,layoff temporary,2020
2356,05/07/2020,05/06/2020,05/19/2020,Central California Conference of Seventh-dayAdventist (SCR),Central California Conference of Seventh-dayAdventist,Clovis,Fresno County,12.0,closure permanent,2020
2357,05/07/2020,05/06/2020,05/19/2020,Central California Conference of Seventh-dayAdventist (SFO),Central California Conference of Seventh-dayAdventist,Clovis,Fresno County,3.0,closure permanent,2020
2358,05/07/2020,05/06/2020,05/19/2020,Central California Conference of Seventh-dayAdventist (STN),Central California Conference of Seventh-dayAdventist,Clovis,Fresno County,16.0,closure permanent,2020
2359,05/07/2020,05/06/2020,05/19/2020,Central California Conference of Seventh-dayAdventists (Fresno),Central California Conference of Seventh-dayAdventist,Clovis,Fresno County,10.0,closure permanent,2020
2360,03/26/2020,03/26/2020,05/19/2020,Caleres Inc. Distribution Center,Caleres Inc. Distribution Center,Lebec,Kern County,92.0,layoff permanent,2020
2361,03/27/2020,03/16/2020,05/19/2020,SBE dba Katsuya,SBE,Glendale,Los Angeles County,85.0,layoff temporary,2020
2362,03/27/2020,03/16/2020,05/19/2020,SBE dba Katsuya,SBE,Los Angeles,Los Angeles County,171.0,layoff temporary,2020
2363,03/30/2020,03/23/2020,05/19/2020,Beauty & Essex,Beauty & Essex,Los Angeles,Los Angeles County,87.0,layoff temporary,2020
2364,03/30/2020,03/23/2020,05/19/2020,"Selma Restaurant, LLC dba TAO LA","Selma Restaurant, LLC dba TAO LA",Los Angeles,Los Angeles County,166.0,layoff temporary,2020
2365,03/25/2020,04/01/2020,05/19/2020,"HotelCrafters Hollywood LLC dba TheStandard, Hollywood",HotelCrafters,West Hollywood,Los Angeles County,121.0,layoff temporary,2020
2366,03/25/2020,04/01/2020,05/19/2020,"HotelCrafters LA LLC DBA The Standard,Downtown LA",HotelCrafters,Los Angeles,Los Angeles County,184.0,layoff type unknown,2020
2367,03/24/2020,03/26/2020,05/19/2020,"Frida Restaurant Americana LLC,",Frida Restaurant Americana LLC,Glendale,Los Angeles County,94.0,closure type unknown,2020
2368,03/24/2020,03/27/2020,05/19/2020,"Sea View Restaurants, Inc. dba Gladstones","Sea View Restaurants, Inc. dba Gladstones",Pacific Palisades,Los Angeles County,84.0,closure temporary,2020
2369,03/20/2020,03/23/2020,05/19/2020,MASTERPIECE ART GALLERY,MASTERPIECE ART GALLERY,Los Angeles,Los Angeles County,60.0,layoff permanent,2020
2370,03/20/2020,03/20/2020,05/19/2020,INSTA GRAPHIC SYSTEMS,INSTA GRAPHIC SYSTEMS,Cerritos,Los Angeles County,49.0,layoff temporary,2020
2371,03/20/2020,03/16/2020,05/19/2020,SPROUT JK WAFFLE DBA VESPERTINE,Sprout,Culver City,Los Angeles County,32.0,layoff temporary,2020
2372,03/20/2020,03/16/2020,05/19/2020,SPROUT SANTA FE CAFE DBA BON TEMPS,Sprout,Los Angeles,Los Angeles County,51.0,layoff temporary,2020
2373,03/18/2020,03/15/2020,05/19/2020,Amoroso Limited Partnership dba AOC,Amoroso Limited Partnership dba AOC,Los Angeles,Los Angeles County,74.0,layoff temporary,2020
2374,03/19/2020,03/14/2020,05/19/2020,Cote West Limited Partnership dba Tavern,Cote West Limited Partnership dba Tavern,Los Angeles,Los Angeles County,85.0,layoff temporary,2020
2375,03/19/2020,03/14/2020,05/19/2020,THE CALIFORNIA COMMERCE CLUB DBATHE COMMERCE CASUNO & HOTEL,THE CALIFORNIA COMMERCE CLUB DBATHE COMMERCE CASUNO & HOTEL,Los Angeles,Los Angeles County,1884.0,closure temporary,2020
2376,04/28/2020,03/23/2020,05/19/2020,Century West BMW,Century West BMW,North Hollywood,Los Angeles County,105.0,layoff temporary,2020
2377,04/09/2020,04/09/2020,05/19/2020,Shultz Steel Company,Shultz Steel Company,South Gate,Los Angeles County,101.0,layoff permanent,2020
2378,03/30/2020,04/01/2020,05/19/2020,Reneson Hotels Inc. dba Best Western PlusNovato Oaks Inn,Reneson Hotels Inc,Novato,Marin County,49.0,layoff temporary,2020
2379,03/30/2020,04/01/2020,05/19/2020,Reneson Hotels Inc. dba Hilton Garden Inn,Reneson Hotels Inc,Napa,Napa County,39.0,layoff temporary,2020
2380,03/31/2020,03/31/2020,05/19/2020,"BUCA, Inc. DBA Buca di Beppo",Buca di Beppo,Brea,Orange County,75.0,layoff temporary,2020
2381,03/27/2020,03/27/2020,05/19/2020,SBE,SBE,Anaheim,Orange County,39.0,layoff temporary,2020
2382,03/25/2020,04/01/2020,05/19/2020,HotelCrafters Laguna LLC dba Laguna Riviera,HotelCrafters,Laguna Beach,Orange County,10.0,layoff temporary,2020
2383,03/24/2020,03/24/2020,05/19/2020,FUTURE FOAM,FUTURE FOAM,FULLERTON,Orange County,98.0,layoff type unknown,2020
2384,03/27/2020,05/13/2020,05/19/2020,YMCA of Sacramento,YMCA,Sacramento,Sacramento County,109.0,layoff temporary,2020
2385,03/24/2020,03/24/2020,05/19/2020,"High Desert Autos, Inc. dba Valley HI KIA","High Desert Autos, Inc. dba Valley HI KIA",Victorville,San Bernardino County,24.0,layoff temporary,2020
2386,03/24/2020,03/24/2020,05/19/2020,"VAHI, Inc dba Valley HI Toyota","VAHI, Inc dba Valley HI Toyota",Victorville,San Bernardino County,61.0,layoff temporary,2020
2387,03/27/2020,04/06/2020,05/19/2020,Hartwell Corporation,Hartwell Corporation,Rancho Cucamonga,San Bernardino County,66.0,layoff temporary,2020
2388,03/27/2020,03/26/2020,05/19/2020,Lamps Plus,Lamps Plus,Redlands,San Bernardino County,3.0,layoff permanent,2020
2389,03/27/2020,03/17/2020,05/19/2020,Harkins Theatres-Mountain Grove 16 Theatre,Harkins Theaters,Redlands,San Bernardino County,127.0,layoff temporary,2020
2390,03/27/2020,03/24/2020,05/19/2020,Cinepolis,Cinepolis,Carlsbad,San Diego County,58.0,layoff temporary,2020
2391,03/30/2020,03/30/2020,05/19/2020,Cinepolis,Cinepolis,Vista,San Diego County,35.0,layoff temporary,2020
2392,03/23/2020,03/23/2020,05/19/2020,"Fargo Colonial, LLC dba Grande Colonial","Fargo Colonial, LLC dba Grande Colonial",La Jolla,San Diego County,97.0,layoff temporary,2020
2393,03/23/2020,03/23/2020,05/19/2020,Summit College,Summit College,El Cajon,San Diego County,6.0,layoff permanent,2020
2394,03/23/2020,03/23/2020,05/19/2020,UNITE Professional Salon System,UNITE Professional Salon System,Carlsbad,San Diego County,40.0,layoff permanent,2020
2395,04/20/2020,04/20/2020,05/19/2020,"Hoehn Motors, Inc., dba Hoehn Acura","Hoehn Motors, Inc",Carlsbad,San Diego County,386.0,layoff temporary,2020
2396,03/31/2020,03/31/2020,05/19/2020,The Absinthe Group,The Absinthe Group,San Francisco,San Francisco County,193.0,layoff temporary,2020
2397,03/31/2020,03/31/2020,05/19/2020,"International Marine Products, Inc.","International Marine Products, Inc.",South San Francisco,San Mateo County,9.0,layoff permanent,2020
2398,03/24/2020,03/17/2020,05/19/2020,European Wax Center,European Wax Center,Mountain View,Santa Clara County,21.0,layoff temporary,2020
2399,03/25/2020,04/01/2020,05/19/2020,HotelCrafters Palo Alto LLC dba Garden CourtHotel,HotelCrafters,Palo Alto,Santa Clara County,62.0,layoff temporary,2020
2400,03/30/2020,03/31/2020,05/19/2020,"Velodyne Lidar, Inc.","Velodyne Lidar, Inc.",San Jose,Santa Clara County,144.0,layoff permanent,2020
2401,03/23/2020,03/23/2020,05/19/2020,"Westlake Wellbeing Properties, LLC dba FourSeasons Hotel Westlake Village","Westlake Wellbeing Properties, LLC - Four Seasons Hotel Westlake Village",Thousand Oaks,Ventura County,555.0,closure temporary,2020
2402,04/13/2020,04/13/2020,05/19/2020,"Red Lobster Restaurants, LLC","Red Lobster Restaurants, LLC",Oxnard,Ventura County,50.0,layoff temporary,2020
2403,04/30/2020,04/23/2020,05/19/2020,Golin Theatres Inc (Regency),Golin Theatres Inc (Regency),Ventura,Ventura County,41.0,closure temporary,2020
2404,04/27/2020,06/30/2020,05/19/2020,Packaging Corporation of America,Packaging Corporation of America,San Lorenzo,Alameda County,160.0,closure permanent,2020
2405,03/23/2020,03/23/2020,05/19/2020,Golden Empire Transit District (GET),Golden Empire Transit District (GET),Bakersfield,Kern County,37.0,layoff temporary,2020
2406,03/18/2020,03/24/2020,05/19/2020,Omni San Francisco Hotel,Omni Hotel,San Francisco,San Francisco County,278.0,layoff temporary,2020
2407,03/24/2020,03/18/2020,05/19/2020,Sheraton Operating Corporation - W SanFrancisco Hotel,Sheraton Hotel,San Francisco,San Francisco County,271.0,layoff temporary,2020
2408,03/19/2020,03/20/2020,05/19/2020,FLYING FOOD GROUP,"Flying Food Group, LLC",Burlingame,San Mateo County,14.0,layoff type unknown,2020
2409,03/20/2020,03/20/2020,05/19/2020,Euromotors Oakland Inc. dba Mercedes-Benzof Oakland,Euromotors Oakland Inc. dba Mercedes-Benzof Oakland,Oakland,Alameda County,57.0,layoff temporary,2020
2410,04/07/2020,04/06/2020,05/19/2020,"Mobileforming, LLC","Mobileforming, LLC",Glendale,Los Angeles County,55.0,layoff temporary,2020
2411,03/27/2020,03/20/2020,05/19/2020,New York Film Academy,New York Film Academy,Burbank,Los Angeles County,215.0,closure temporary,2020
2412,03/31/2020,04/01/2020,05/19/2020,"Crunch, LLC",Crunch LLC,Los Angeles,Los Angeles County,130.0,layoff temporary,2020
2413,05/05/2020,04/03/2020,05/19/2020,"Pacific 2.1 Entertainment Group, Inc.","Pacific 2.1 Entertainment Group, Inc.",Los Angeles,Los Angeles County,185.0,layoff temporary,2020
2414,05/05/2020,04/03/2020,05/19/2020,"Pacific 2.1 Entertainment Group, Inc.","Pacific 2.1 Entertainment Group, Inc.",Santa Clarita,Los Angeles County,207.0,layoff temporary,2020
2415,05/05/2020,04/17/2020,05/19/2020,"American Broadcasting Companies, Inc.","American Broadcasting Companies, Inc.",Los Angeles,Los Angeles County,218.0,layoff temporary,2020
2416,05/05/2020,03/16/2020,05/19/2020,"It's a Laugh Productions, Inc.","It's a Laugh Productions, Inc.",Studio City,Los Angeles County,329.0,layoff temporary,2020
2417,05/05/2020,03/20/2020,05/19/2020,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Los Angeles,Los Angeles County,335.0,layoff temporary,2020
2418,03/20/2020,03/16/2020,05/19/2020,BESTIA,BESTIA,Los Angeles,Los Angeles County,125.0,layoff temporary,2020
2419,03/25/2020,04/01/2020,05/19/2020,Mulligan Palmdale Corporation dba MulliganFamily Fun Center,Mulligan Palmdale Corporation dba MulliganFamily Fun Center,Palmdale,Los Angeles County,54.0,layoff temporary,2020
2420,05/15/2020,05/01/2020,05/19/2020,"Amada America, Inc.","Amada America, Inc.",Brea,Orange County,34.0,layoff type unknown,2020
2421,04/02/2020,04/03/2020,05/19/2020,Evolution Hospitality dba Residence Inn atAnaheim Resort Convention Center,Evolution Hospitality,Anaheim,Orange County,134.0,layoff temporary,2020
2422,03/25/2020,04/01/2020,05/19/2020,Mulligan Group INC. dba Mulligan Family FunCenter,Mulligan Group INC. dba Mulligan Family FunCenter,Murrieta,Riverside County,51.0,layoff temporary,2020
2423,03/19/2020,03/20/2020,05/19/2020,TWO BUNCH PALMS,TWO BUNCH PALMS,Desert Hot Springs,Riverside County,121.0,layoff permanent,2020
2424,03/31/2020,03/24/2020,05/19/2020,"Riverside Metro Auto Group, LLC, RiversideMetro Dealer, LLC, and Riverside MetroPartner, LLC.","Riverside Metro Auto Group, LLC, RiversideMetro Dealer, LLC, and Riverside MetroPartner, LLC.",Riverside,Riverside County,51.0,layoff type unknown,2020
2425,03/30/2020,03/23/2020,05/19/2020,Wetzel's Pretzels,Wetzel's Pretzels,Ontario,San Bernardino County,58.0,layoff temporary,2020
2426,03/20/2020,03/20/2020,05/19/2020,Euromotors Inc. dba Mercedes-Benz of SanFrancisco,Euromotors Inc. dba Mercedes-Benz of SanFrancisco,San Francisco,San Francisco County,89.0,layoff temporary,2020
2427,03/31/2020,04/01/2020,05/19/2020,Crunch LLC,Crunch LLC,Daly City,San Mateo County,75.0,layoff temporary,2020
2428,03/27/2020,03/16/2020,05/19/2020,"Devcon Construction, Inc.","Devcon Construction, Inc.",Milpitas,Santa Clara County,93.0,layoff temporary,2020
2429,03/23/2020,03/23/2020,05/19/2020,Hayes Mansion,Hayes Mansion,San Jose,Santa Clara County,24.0,layoff temporary,2020
2430,03/24/2020,03/12/2020,05/19/2020,Avis Budget Car Rental LLC,"Avis Budget Car Rental, LLC",San Jose,Santa Clara County,43.0,layoff temporary,2020
2431,03/23/2020,03/29/2020,05/18/2020,"SSA Group, LLC-Fresno Chaffee Zoo Facility","SSA Group, LLC",Fresno,Fresno County,82.0,layoff temporary,2020
2432,03/27/2020,03/30/2020,05/18/2020,Qantas Airways Ltd,Qantas Airways Ltd,Los Angeles,Los Angeles County,132.0,layoff temporary,2020
2433,03/27/2020,03/27/2020,05/18/2020,"Wencor Group, LLC. - Flight Line Products","Wencor Group, LLC",Valencia,Los Angeles County,3.0,layoff permanent,2020
2434,03/23/2020,03/19/2020,05/18/2020,"Mama Management USA, LLC DBA MamaShelter","Mama Management USA, LLC DBA MamaShelter",Los Angeles,Los Angeles County,100.0,layoff temporary,2020
2435,03/23/2020,03/23/2020,05/18/2020,"BHA Hospitality, LLC. dba Avra Beverly Hills","BHA Hospitality, LLC. dba Avra Beverly Hills",Beverly Hills,Los Angeles County,256.0,layoff temporary,2020
2436,03/23/2020,03/23/2020,05/18/2020,"GL WCT, LLC dba West Coast Toyota","GL WCT LLC, dba: West Coast Toyota",Long Beach,Los Angeles County,97.0,layoff temporary,2020
2437,03/25/2020,03/20/2020,05/18/2020,Wilbur Curtis,Wilbur Curtis,Montebello,Los Angeles County,142.0,layoff temporary,2020
2438,03/25/2020,03/23/2020,05/18/2020,Embassy Suites LAX North,Embassy Suites,Los Angeles,Los Angeles County,45.0,layoff temporary,2020
2439,03/24/2020,03/23/2020,05/18/2020,"GL LBH, LLC dba Long Beach Honda","GL LBH, LLC",Signal Hill,Los Angeles County,115.0,layoff temporary,2020
2440,05/04/2020,04/24/2020,05/18/2020,Javier's CC LLC,Javier's CC LLC,Los Angeles,Los Angeles County,168.0,layoff temporary,2020
2441,03/31/2020,03/24/2020,05/18/2020,"Bucket List Experiences, LLC DBA MalibuWine Safaris","Bucket List Experiences, LLC DBA MalibuWine Safaris",Malibu,Los Angeles County,68.0,layoff permanent,2020
2442,03/31/2020,03/31/2020,05/18/2020,Opus Bank,Opus Bank,Irvine,Orange County,70.0,layoff permanent,2020
2443,05/04/2020,04/30/2020,05/18/2020,Leisure Sports Hospitality,Leisure Sports Hospitality,Aliso Viejo,Orange County,72.0,closure temporary,2020
2444,05/04/2020,04/24/2020,05/18/2020,Mexi-Grill LLC,Mexi-Grill LLC,Newport Coast,Orange County,183.0,layoff permanent,2020
2445,03/20/2020,03/13/2020,05/18/2020,"Pinnacle Exhibits, Inc.","Pinnacle Exhibits, Inc.",Irvine,Orange County,47.0,layoff temporary,2020
2446,03/18/2020,03/18/2020,05/18/2020,"Auburn Auto, Inc dba Auburn Toyota","Auburn Auto, Inc dba Auburn Toyota",Auburn,Placer County,73.0,layoff temporary,2020
2447,03/25/2020,03/25/2020,05/18/2020,"Walters Auto Sales and Service, Inc.","Walter's Auto Sales and Service, Inc",Riverside,Riverside County,93.0,layoff temporary,2020
2448,04/02/2020,03/17/2020,05/18/2020,"Dos Coyotes Sunrise Inc, dba Dos CoyotesBoarder Cafe","Dos Coyotes Sunrise Inc, dba Dos CoyotesBoarder Cafe",Citrus Heights,Sacramento County,7.0,layoff temporary,2020
2449,03/20/2020,03/19/2020,05/18/2020,"CBDM Redlands, LLC. dba The LibraryGentlemen's Club","CBDM Redlands, LLC. dba The LibraryGentlemen's Club",Redlands,San Bernardino County,124.0,closure temporary,2020
2450,03/24/2020,03/24/2020,05/18/2020,"DAV, Inc. dba Valley HI Honda","DAV, Inc. dba Valley HI Honda",Victorville,San Bernardino County,28.0,layoff temporary,2020
2451,03/24/2020,03/24/2020,05/18/2020,"Victorville Nissan, Inc. dba Valley HI Nissan","Victorville Nissan, Inc. dba Valley HI Nissan",Victorville,San Bernardino County,17.0,layoff temporary,2020
2452,03/27/2020,03/27/2020,05/18/2020,Bear Springs Hotel,Bear Springs Hotel,Highland,San Bernardino County,81.0,layoff temporary,2020
2453,03/24/2020,03/18/2020,05/18/2020,"Fortune Builders, Inc.,","Fortune Builders, Inc.,",San Diego,San Diego County,154.0,layoff type unknown,2020
2454,05/01/2020,05/01/2020,05/18/2020,Altman Specialty Plants,Altman Specialty Plants,San Marcos,San Diego County,99.0,layoff permanent,2020
2455,05/01/2020,05/04/2020,05/18/2020,"Fish Market Restaurant, Inc.","Fish Market Restaurants, Inc.",Solana Beach,San Diego County,339.0,layoff temporary,2020
2456,05/01/2020,05/18/2020,05/18/2020,Gemological Institute of America,Gemological Institute of America,Carlsbad,San Diego County,566.0,layoff temporary,2020
2457,05/04/2020,04/24/2020,05/18/2020,Javier's UTC LLC,Javier's UTC LLC,San Diego,San Diego County,133.0,layoff temporary,2020
2458,04/29/2020,05/13/2020,05/18/2020,Pacific Honda,Pacific Honda,San Diego,San Diego County,6.0,layoff permanent,2020
2459,04/29/2020,05/13/2020,05/18/2020,San Diego Chrysler Dodge Jeep,San Diego Chrysler Dodge Jeep,San Diego,San Diego County,8.0,layoff permanent,2020
2460,04/29/2020,05/13/2020,05/18/2020,Sunroad Auto,Sunroad Auto,San Diego,San Diego County,1.0,layoff permanent,2020
2461,04/29/2020,05/13/2020,05/18/2020,Sunroad Auto LLC - Kearny Mesa Ford,Sunroad Auto,San Diego,San Diego County,20.0,layoff permanent,2020
2462,04/29/2020,05/13/2020,05/18/2020,Sunroad Cv Auto Inc,Sunroad Auto,Chula Vista,San Diego County,9.0,layoff permanent,2020
2463,04/08/2020,03/31/2020,05/18/2020,"Gosch Auto Group, Inc.","Gosch Auto Group, Inc.",Escondido,San Diego County,48.0,layoff temporary,2020
2464,03/11/2020,03/11/2020,05/18/2020,Hilton San Francisco Airport Bayfront,Hilton,Burlingame,San Mateo County,110.0,layoff type unknown,2020
2465,05/01/2020,05/04/2020,05/18/2020,Farallon Fisheries,Farallon Fisheries,South San Francisco,San Mateo County,7.0,layoff temporary,2020
2466,03/25/2020,03/25/2020,05/18/2020,P. F. Chang's China Bistro,"P.F. Chang's China Bistro, Inc.",San Jose,Santa Clara County,100.0,layoff temporary,2020
2467,05/01/2020,05/04/2020,05/18/2020,The Fish Market,The Fish Market,San Jose,Santa Clara County,75.0,layoff temporary,2020
2468,05/01/2020,05/04/2020,05/18/2020,"Fish Market Restaurants, Inc. Inc.","Fish Market Restaurants, Inc.",Palo Alto,Santa Clara County,243.0,layoff temporary,2020
2469,03/31/2020,03/20/2020,05/18/2020,"Jim's Formal Wear, LLC",YMCA,Visalia,Tulare County,52.0,layoff temporary,2020
2470,03/23/2020,03/29/2020,05/18/2020,SSA Group - Los Angeles Zoo,"SSA Group, LLC",Los Angeles,Los Angeles County,158.0,layoff temporary,2020
2471,04/30/2020,05/04/2020,05/18/2020,DURHAM SCHOOL SERVICES,DURHAM SCHOOL SERVICES,San Bernardino,San Bernardino County,409.0,layoff temporary,2020
2472,03/19/2020,03/24/2020,05/18/2020,Omni La Costa Resort & Spa,Omni Hotel,Carlsbad,San Diego County,760.0,closure temporary,2020
2473,03/23/2020,03/29/2020,05/18/2020,"SSA Group, LLC","SSA Group, LLC",San Francisco,San Francisco County,106.0,layoff temporary,2020
2474,04/02/2020,04/02/2020,05/18/2020,Gus's BBQ Restaurant,"Gus's BBQ, Inc.",Claremont,Los Angeles County,63.0,layoff temporary,2020
2475,03/27/2020,03/19/2020,05/18/2020,"Cal Cartage Warehousing and Transloading,LLC","Cal Cartage Warehousing & Transloading, LLC",Torrance,Los Angeles County,74.0,layoff temporary,2020
2476,03/26/2020,03/27/2020,05/18/2020,Robbins Brothers Inc,Robbins Brothers Inc,Azusa,Los Angeles County,39.0,closure temporary,2020
2477,03/31/2020,03/18/2020,05/18/2020,"Ace Hotel Group LLC, - Ace Hotel DTLA","Ace Hotel Group LLC, - Ace Hotel DTLA",Los Angeles,Los Angeles County,247.0,layoff temporary,2020
2478,05/01/2020,05/08/2020,05/18/2020,"National Football League Enterprises, LLC","National Football League Enterprises, LLC",Culver City,Los Angeles County,466.0,layoff temporary,2020
2479,04/26/2020,04/26/2020,05/18/2020,"Enterprise Rent-A-Car Co of Sacramento, LLC",Enterprise Rent-A-Car,Roseville,Placer County,199.0,layoff type unknown,2020
2480,03/31/2020,03/31/2020,05/18/2020,Poway Auto Group,Poway Auto Group,Poway,San Diego County,35.0,layoff permanent,2020
2481,03/27/2020,03/20/2020,05/18/2020,"Gold Star Foods, Inc.","Gold Star Foods, Inc.",Dixon,Solano County,25.0,layoff temporary,2020
2482,03/27/2020,03/18/2020,05/15/2020,CPK dba California Pizza Kitchen,CPK dba California Pizza Kitchen,Playa Vista,Los Angeles County,71.0,layoff temporary,2020
2483,03/26/2020,03/23/2020,05/15/2020,Pomona Valley Mining Co.,Pomona Valley Mining Co.,Pomona,Los Angeles County,83.0,layoff temporary,2020
2484,03/23/2020,03/23/2020,05/15/2020,RUSNAK-ARCADIA,Rusnak,Arcadia,Los Angeles County,37.0,layoff temporary,2020
2485,03/23/2020,03/23/2020,05/15/2020,Ultra Pro,Ultra Pro,Commerce,Los Angeles County,76.0,layoff temporary,2020
2486,03/16/2020,03/16/2020,05/15/2020,NoMad Hotel Manager LA LLC,NoMad Hotel Manager LA LLC,Los Angeles,Los Angeles County,59.0,layoff type unknown,2020
2487,03/19/2020,03/20/2020,05/15/2020,Piazza Romana LLC dba La Piazza Restaurant,Piazza Romana LLC dba La Piazza Restaurant,Los Angeles,Los Angeles County,95.0,layoff temporary,2020
2488,03/19/2020,03/20/2020,05/15/2020,Romana Promenade - Trastevere Restaurant,Romana Promenade - Trastevere Restaurant,Santa Monica,Los Angeles County,49.0,layoff temporary,2020
2489,03/19/2020,03/19/2020,05/15/2020,"Flying Food Group, LLC","Flying Food Group, LLC",Los Angeles,Los Angeles County,26.0,layoff permanent,2020
2490,05/01/2020,04/17/2020,05/15/2020,Unibail Rodamco Westfield,Unibail Rodamco Westfield,Los Angeles,Los Angeles County,141.0,layoff temporary,2020
2491,05/08/2020,07/08/2020,05/15/2020,"Teledyne Controls, LLC","Teledyne Controls, LLC",El Segundo,Los Angeles County,175.0,layoff permanent,2020
2492,03/30/2020,04/02/2020,05/15/2020,"David's Bridal, LLC f/k/a/ David's Bridal, Inc.","David's Bridal, LLC f/k/a David's Bridal, Inc.",Costa Mesa,Orange County,14.0,closure temporary,2020
2493,03/18/2020,03/19/2020,05/15/2020,"PIF Restaurant Group, Inc","PIF Restaurant Group, Inc",Lake Forest,Orange County,162.0,layoff permanent,2020
2494,03/19/2020,03/16/2020,05/15/2020,Desert Palms Suites LP dba Desert PalmsHotel & Suites,Desert Palms Suites LP dba Desert PalmsHotel & Suites,Anaheim,Orange County,69.0,layoff temporary,2020
2495,03/26/2020,03/23/2020,05/15/2020,OCMC Inc. dba Orange County Mining Co.,OCMC Inc. dba Orange County Mining Co.,Santa Ana,Orange County,79.0,layoff temporary,2020
2496,03/21/2020,03/18/2020,05/15/2020,"Pavilion Car Care Center, Inc.","Pavilion Car Care Center, Inc.",Sacramento,Sacramento County,75.0,closure temporary,2020
2497,03/19/2020,03/19/2020,05/15/2020,"The Brigantine, Inc.","The Brigantine, Inc.",Del Mar,San Diego County,792.0,layoff temporary,2020
2498,03/19/2020,03/19/2020,05/15/2020,"The Brigantine, Inc.","The Brigantine, Inc.",San Diego,San Diego County,69.0,layoff temporary,2020
2499,03/19/2020,03/19/2020,05/15/2020,"The Brigantine, Inc.","The Brigantine, Inc.",San Diego,San Diego County,32.0,layoff temporary,2020
2500,03/19/2020,03/10/2020,05/15/2020,"The Brigantine, Inc.","The Brigantine, Inc.",Coronado,San Diego County,74.0,layoff temporary,2020
2501,03/20/2020,03/20/2020,05/15/2020,Ocean's 11 Casino,Ocean's 11 Casino,Oceanside,San Diego County,360.0,layoff temporary,2020
2502,03/20/2020,03/23/2020,05/15/2020,Aviara Residential Employment Inc - FourSeasons Residence Club Aviara,Aviara Residential Employment Inc - FourSeasons Residence Club Aviara,Carlsbad,San Diego County,249.0,layoff temporary,2020
2503,04/29/2020,05/13/2020,05/15/2020,Kearny Mesa Chrysler Dodge Jeep Ram,Kearny Mesa,San Diego,San Diego County,4.0,layoff permanent,2020
2504,03/31/2020,03/16/2020,05/15/2020,The Westin San Diego,The Westin,San Diego,San Diego County,130.0,layoff temporary,2020
2505,03/21/2020,03/23/2020,05/15/2020,"Renoir HM, LLC dba San Francisco ProperHotel","Renoir HM, LLC dba San Francisco ProperHotel",San Francisco,San Francisco County,149.0,layoff type unknown,2020
2506,03/19/2020,03/19/2020,05/15/2020,Pyramid San Jose Management LP,Pyramid Management LP,San Jose,Santa Clara County,56.0,layoff temporary,2020
2507,03/30/2020,04/02/2020,05/15/2020,"David's Bridal, LLC f/k/a David's Bridal, Inc.","David's Bridal, LLC f/k/a David's Bridal, Inc.",San Jose,Santa Clara County,11.0,closure temporary,2020
2508,04/27/2020,04/27/2020,05/15/2020,"OS Restaurant Services, LLC, dba Fleming's","OS Restaurant Services, LLC, dba Fleming's",Palo Alto,Santa Clara County,172.0,layoff temporary,2020
2509,05/04/2020,03/18/2020,05/15/2020,"Alpha Staffing, LLC",Alpha Staffing,San Jose,Santa Clara County,55.0,layoff permanent,2020
2510,04/13/2020,04/10/2020,05/15/2020,Fox Factory Inc.,Fox Factory Inc.,Watsonville,Santa Cruz County,85.0,layoff temporary,2020
2511,03/25/2020,03/25/2020,05/15/2020,"Tralee, Inc. dba Antioch Auto Center","Tralee, Inc.",Antioch,Contra Costa County,156.0,layoff temporary,2020
2512,05/04/2020,03/19/2020,05/15/2020,Virgin Hotel San Francisco,Virgin Hotel San Francisco,San Francisco,San Francisco County,174.0,layoff temporary,2020
2513,03/25/2020,03/25/2020,05/15/2020,"Tralee, Inc. dba Tracy Ford","Tralee, Inc.",Tracy,San Joaquin County,170.0,layoff temporary,2020
2514,03/18/2020,03/20/2020,05/15/2020,Hilton Santa Clara,Hilton,Santa Clara,Santa Clara County,122.0,closure temporary,2020
2515,04/24/2020,03/25/2020,05/15/2020,Golden Vally Health Centers,Golden Valley Health Center,Modesto,Stanislaus County,6.0,layoff temporary,2020
2516,03/25/2020,03/25/2020,05/15/2020,Beltray Inc. dba All Star Ford,Beltray Inc. dba All Star Ford,Pittsburg,Contra Costa County,27.0,layoff temporary,2020
2517,04/02/2020,04/02/2020,05/15/2020,Lorna Jane,Lorna Jane,Santa Monica,Los Angeles County,1.0,layoff permanent,2020
2518,05/04/2020,03/20/2020,05/15/2020,Tempur Sealy,Tempur Sealy,City of Industry,Los Angeles County,211.0,layoff temporary,2020
