,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,Year
2907,03/31/2020,03/31/2020,05/02/2020,"Labeltex Mills, Inc",Los Angeles,Los Angeles County,73.0,layoff temporary,2020
2908,03/31/2020,03/17/2020,05/02/2020,Altadena Town & Country Club,Altadena,Los Angeles County,62.0,layoff temporary,2020
2909,04/27/2020,04/27/2020,05/02/2020,3M Company DBA 3M Oral Care,Monrovia,Los Angeles County,464.0,layoff temporary,2020
2910,04/23/2020,04/01/2020,05/02/2020,"Mark Treystman, DDS DBA New CenturyDental Group",Los Angeles,Los Angeles County,6.0,layoff temporary,2020
2911,04/23/2020,04/01/2020,05/02/2020,"Rayfled& Treystman, A Dental Corporation",Los Angeles,Los Angeles County,5.0,layoff temporary,2020
2912,04/20/2020,04/12/2020,05/02/2020,Finish Line (dba JD Sports),Downey,Los Angeles County,52.0,closure temporary,2020
2913,04/20/2020,04/12/2020,05/02/2020,JD Sports,Northridge,Los Angeles County,22.0,closure temporary,2020
2914,04/16/2020,04/16/2020,05/02/2020,Clinica de Salud del Valle de Salinas,Salinas,Monterey County,47.0,layoff temporary,2020
2915,03/17/2020,03/17/2020,05/02/2020,Hof's Hut Restaurants Inc dba Lucille'sSmokehouse Bar-B-Que,Tustin,Orange County,65.0,closure temporary,2020
2916,03/17/2020,03/16/2020,05/02/2020,Hof's Hut Restaurants Inc dba Lucille'sSmokehouse Bar-B-Que,Brea,Orange County,66.0,closure temporary,2020
2917,04/16/2020,04/14/2020,05/02/2020,Continuing Development,Irvine,Orange County,16.0,layoff temporary,2020
2918,04/24/2020,04/10/2020,05/02/2020,Karma Automotive LLC,Irvine,Orange County,61.0,layoff temporary,2020
2919,04/27/2020,03/27/2020,05/02/2020,3M,Irvine,Orange County,264.0,layoff temporary,2020
2920,04/23/2020,05/01/2020,05/02/2020,Tickets.com,Costa Mesa,Orange County,96.0,layoff temporary,2020
2921,03/30/2020,03/30/2020,05/02/2020,Grand Legacy at the Park,Anaheim,Orange County,80.0,layoff temporary,2020
2922,03/30/2020,03/30/2020,05/02/2020,Grand Legacy Hotel at the Park,Anaheim,Orange County,80.0,layoff temporary,2020
2923,03/30/2020,03/30/2020,05/02/2020,The 5ith Rooftop Restaurant & Bar,Anaheim,Orange County,31.0,layoff temporary,2020
2924,04/17/2020,04/17/2020,05/02/2020,Familly Health Centers of San Diego,San Diego,San Diego County,109.0,closure type unknown,2020
2925,04/21/2020,04/08/2020,05/02/2020,Tomatoes Extraordinaire Inc (dba SpecialtyProduce),San Diego,San Diego County,123.0,layoff permanent,2020
2926,04/20/2020,04/20/2020,05/02/2020,PROSPECT AIRPORT SERVICES,San Francisco,San Francisco County,13.0,layoff temporary,2020
2927,03/25/2020,03/19/2020,05/02/2020,Dome Construction Corporation,South San Francisco,San Mateo County,83.0,layoff temporary,2020
2928,04/15/2020,03/17/2020,05/02/2020,Preston Pipelines Inc,Milpitas,Santa Clara County,280.0,layoff temporary,2020
2929,04/16/2020,04/14/2020,05/02/2020,"Continuing Development, Inc",Sunnyvale,Santa Clara County,53.0,layoff temporary,2020
2930,04/16/2020,04/14/2020,05/02/2020,Continuing Development Inc,Davis,Yolo County,6.0,layoff temporary,2020
2931,04/08/2020,03/16/2020,05/01/2020,glassybaby LLC,Berkeley,Alameda County,55.0,layoff temporary,2020
2932,04/21/2020,04/06/2020,05/01/2020,Hexel Corporation,Dublin,Alameda County,48.0,layoff permanent,2020
2933,04/24/2020,04/01/2020,05/01/2020,"Kenyon Plastering of Livermore, Inc.",Livermore,Alameda County,70.0,layoff temporary,2020
2934,04/20/2020,06/12/2020,05/01/2020,T.F. Louderback Inc (dba Bay Area BeverageCompany),Richmond,Contra Costa County,240.0,layoff permanent,2020
2935,04/23/2020,03/20/2020,05/01/2020,AMC Burbank 16,Burbank,Los Angeles County,41.0,closure temporary,2020
2936,04/23/2020,03/20/2020,05/01/2020,AMC Marina DIT 6,Marina Del Rey,Los Angeles County,91.0,closure temporary,2020
2937,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #101,Los Angeles,Los Angeles County,38.0,layoff temporary,2020
2938,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #102,Studio City,Los Angeles County,46.0,layoff temporary,2020
2939,04/20/2020,04/01/2020,05/01/2020,Goldenvoice - The Roxy,West Hollywood,Los Angeles County,97.0,layoff temporary,2020
2940,04/23/2020,04/24/2020,05/01/2020,"Lucky Brand Dungarees, LLC",Los Angeles,Los Angeles County,2.0,layoff permanent,2020
2941,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #155,Glendale,Los Angeles County,36.0,layoff temporary,2020
2942,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #104,West Hollywood,Los Angeles County,60.0,layoff temporary,2020
2943,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #107,El Segundo,Los Angeles County,49.0,layoff temporary,2020
2944,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #113,Pacific Palisades,Los Angeles County,20.0,layoff temporary,2020
2945,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #115,Santa Monica,Los Angeles County,44.0,layoff temporary,2020
2946,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #116,Pasadena,Los Angeles County,59.0,layoff temporary,2020
2947,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #121,Encino,Los Angeles County,47.0,layoff temporary,2020
2948,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #122,Marina Del Rey,Los Angeles County,32.0,layoff temporary,2020
2949,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #129,Los Angeles,Los Angeles County,43.0,layoff temporary,2020
2950,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #134,Beverly Hills,Los Angeles County,41.0,layoff temporary,2020
2951,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #143,Woodland Hills,Los Angeles County,47.0,layoff temporary,2020
2952,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #151,Culver City,Los Angeles County,32.0,layoff temporary,2020
2953,04/22/2020,03/20/2020,05/01/2020,"Delta Floral Distributors, Inc.",Los Angeles,Los Angeles County,112.0,layoff temporary,2020
2954,04/22/2020,03/20/2020,05/01/2020,"Moving Pictures Services, Inc",Sherman Oaks,Los Angeles County,121.0,layoff temporary,2020
2955,04/22/2020,03/24/2020,05/01/2020,Deluxe Creative Services Inc,Santa Monica,Los Angeles County,105.0,layoff temporary,2020
2956,04/21/2020,04/21/2020,05/01/2020,"GumGum, Inc.",Santa Monica,Los Angeles County,63.0,layoff permanent,2020
2957,04/20/2020,04/24/2020,05/01/2020,"Agassi Gopchang, LLC dba Agassi Gopchang",Los Angeles,Los Angeles County,58.0,layoff permanent,2020
2958,04/20/2020,04/24/2020,05/01/2020,"JAKKS Pacific, Inc.",Santa Monica,Los Angeles County,56.0,layoff permanent,2020
2959,04/20/2020,04/24/2020,05/01/2020,"Rowland Heights Baekjeong, LLC dbaBaekjeong",Rowland Heights,Los Angeles County,56.0,layoff permanent,2020
2960,04/20/2020,04/24/2020,05/01/2020,"Temple City Baekjeong, LLC dba Beakjeong",Temple City,Los Angeles County,68.0,layoff permanent,2020
2961,04/20/2020,04/24/2020,05/01/2020,"Torrance Baekjeong, LLC dba Baekjeong",Torrance,Los Angeles County,47.0,layoff permanent,2020
2962,04/20/2020,04/20/2020,05/01/2020,Carlton Forge Works,Paramount,Los Angeles County,85.0,layoff permanent,2020
2963,04/08/2020,04/08/2020,05/01/2020,CarMax Burbank,Burbank,Los Angeles County,143.0,layoff temporary,2020
2964,04/20/2020,04/24/2020,05/01/2020,"Fullerton Baekjeong, LLC dba Baekjeong",Buena Park,Orange County,61.0,layoff permanent,2020
2965,04/20/2020,04/24/2020,05/01/2020,"Irvine Baekjeong, LLC dba Baekjeong",Irvine,Orange County,74.0,layoff permanent,2020
2966,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #103,Newport Beach,Orange County,47.0,layoff temporary,2020
2967,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #154,Huntington Beach,Orange County,27.0,layoff temporary,2020
2968,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC,Irvine,Orange County,31.0,layoff temporary,2020
2969,04/23/2020,04/27/2020,05/01/2020,Parker Hannifin - Parker Aerospace Group,Irvine,Orange County,154.0,layoff permanent,2020
2970,03/23/2020,03/20/2020,05/01/2020,AMC Orange 30,Orange,Orange County,49.0,closure temporary,2020
2971,04/23/2020,04/23/2020,05/01/2020,Rc Willey Home Furnishings - Rocklin,Rocklin,Placer County,45.0,layoff temporary,2020
2972,04/23/2020,04/23/2020,05/01/2020,RC Willey Home Furnishings - Delta Shores,Sacramento,Sacramento County,43.0,layoff temporary,2020
2973,04/23/2020,04/24/2020,05/01/2020,"Old Dominion Freight Line, Inc.",Bloomington,San Bernardino County,69.0,layoff temporary,2020
2974,04/21/2020,03/30/2020,05/01/2020,Connect Homes,San Bernardino,San Bernardino County,41.0,layoff type unknown,2020
2975,04/21/2020,04/03/2020,05/01/2020,"HCAL, LLC dba Harrah's Resort SouthernCalifornia",Funner,San Diego County,1440.0,closure temporary,2020
2976,04/23/2020,03/20/2020,05/01/2020,AMC Mission Valley 20,San Diego,San Diego County,48.0,closure temporary,2020
2977,04/21/2020,05/10/2020,05/01/2020,"Scripps Health dba Scripps Mercy Hospital,Chula Vista",Chula Vista,San Diego County,48.0,layoff permanent,2020
2978,04/22/2020,04/01/2020,05/01/2020,Garden Communities Family of Properties,San Diego,San Diego County,50.0,layoff temporary,2020
2979,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #124,San Francisco,San Francisco County,24.0,layoff temporary,2020
2980,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #128,San Francisco,San Francisco County,40.0,layoff temporary,2020
2981,04/22/2020,04/04/2020,05/01/2020,Transform SR Holding,San Francisco,San Francisco County,48.0,layoff temporary,2020
2982,04/20/2020,04/01/2020,05/01/2020,Goldenvoice,San Francisco,San Francisco County,121.0,layoff temporary,2020
2983,04/17/2020,04/25/2020,05/01/2020,LendingHome Corporation,San Francisco,San Francisco County,19.0,layoff temporary,2020
2984,04/17/2020,04/25/2020,05/01/2020,LendingHome Corporation,San Francisco,San Francisco County,24.0,layoff permanent,2020
2985,03/23/2020,03/20/2020,05/01/2020,AMC Metreon 16,San Francisco,San Francisco County,64.0,closure temporary,2020
2986,04/13/2020,04/13/2020,05/01/2020,"Global Experience Specialists, Inc.",South San Francisco,San Mateo County,4.0,layoff temporary,2020
2987,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #119,Burlingame,San Mateo County,30.0,layoff temporary,2020
2988,04/21/2020,04/20/2020,05/01/2020,LA CUMBRE COUNTRY CLUB,Santa Barbara,Santa Barbara County,42.0,layoff temporary,2020
2989,04/03/2020,03/31/2020,05/01/2020,Insight Health Corp.,Los Gatos,Santa Clara County,6.0,layoff temporary,2020
2990,04/21/2020,04/23/2020,05/01/2020,"Specialized Bicycle Components, Inc.",Morgan Hill,Santa Clara County,63.0,layoff permanent,2020
2991,04/17/2020,03/18/2020,05/01/2020,"Piatti Restaurant Company LP, dba Piatti",Santa Clara,Santa Clara County,51.0,layoff temporary,2020
2992,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #109,San Jose,Santa Clara County,44.0,layoff temporary,2020
2993,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #118,Palo Alto,Santa Clara County,43.0,layoff temporary,2020
2994,04/23/2020,05/02/2020,05/01/2020,Adventist Health Home Care Services,Sonora,Tuolumne County,2.0,layoff permanent,2020
2995,04/23/2020,04/06/2020,05/01/2020,Drybar Holdings LLC at Shop #108,Westlake Village,Ventura County,46.0,layoff temporary,2020
2996,04/22/2020,04/21/2020,05/01/2020,Reyes Coca Cola Bottling,Union City,Alameda County,26.0,closure permanent,2020
2997,04/24/2020,04/24/2020,05/01/2020,ELECTRICAL TRAINING INSTITUTE INC,Los Angeles,Los Angeles County,81.0,layoff permanent,2020
2998,04/22/2020,04/22/2020,05/01/2020,Reyes Coca-Cola Bottling LLC,Torrance,Los Angeles County,23.0,closure permanent,2020
2999,04/23/2020,03/20/2020,05/01/2020,AMC Southbay Galleria 16,Redondo Beach,Los Angeles County,42.0,closure temporary,2020
3000,04/23/2020,04/03/2020,05/01/2020,"KNBC-TV, LLC",Universal City,Los Angeles County,46.0,layoff type unknown,2020
3001,04/23/2020,04/03/2020,05/01/2020,"Universal Content Productions, LLC",Los Angeles,Los Angeles County,27.0,layoff type unknown,2020
3002,04/23/2020,04/03/2020,05/01/2020,"Universal Content Productions, LLC",Universal City,Los Angeles County,147.0,layoff type unknown,2020
3003,04/20/2020,04/01/2020,05/01/2020,Goldenvoice - The Shrine Auditorium,Los Angeles,Los Angeles County,610.0,layoff temporary,2020
3004,04/20/2020,04/01/2020,05/01/2020,Goldenvoice - The Mountain Winery,Saratoga,Santa Clara County,325.0,layoff temporary,2020
3005,04/05/2020,03/23/2020,05/01/2020,"Crescent Resorts & Hotels LLC, dba TheWestin San Jose",San Jose,Santa Clara County,29.0,layoff temporary,2020
3006,04/10/2020,04/10/2020,05/01/2020,Clark Pacific,Woodland,Yolo County,100.0,layoff type unknown,2020
3007,04/10/2020,03/18/2020,05/01/2020,1100 Group LLC The Star & Little Star Plaza,Alameda,Alameda County,53.0,layoff temporary,2020
3008,04/10/2020,04/10/2020,05/01/2020,"High Maintenance Trim CO, LLC",Oakland,Alameda County,30.0,layoff temporary,2020
3009,04/21/2020,04/24/2020,05/01/2020,Sodexo,Burbank,Los Angeles County,53.0,layoff temporary,2020
3010,04/23/2020,04/03/2020,05/01/2020,"Open 4 Business Productions, LLC",Universal City,Los Angeles County,17.0,layoff type unknown,2020
3011,04/21/2020,05/03/2020,05/01/2020,"Television City Services, LLC",Los Angeles,Los Angeles County,110.0,layoff temporary,2020
3012,04/20/2020,04/24/2020,05/01/2020,The Broad,Los Angeles,Los Angeles County,130.0,layoff permanent,2020
3013,04/17/2020,04/12/2020,05/01/2020,Dick's Sporting Goods Store #1070,Salinas,Monterey County,34.0,layoff temporary,2020
3014,04/22/2020,04/01/2020,05/01/2020,Allen Family Automotive Group,Laguna Niguel,Orange County,50.0,layoff temporary,2020
3015,04/17/2020,04/12/2020,05/01/2020,Dick's Sporting Goods Store #1421,Roseville,Placer County,50.0,layoff temporary,2020
3016,04/17/2020,04/12/2020,05/01/2020,Dick's Sporting Goods Store #1232,Sacramento,Sacramento County,41.0,layoff temporary,2020
3017,04/09/2020,03/26/2020,05/01/2020,Sethi Management Inc.,Carlsbad,San Diego County,2.0,layoff permanent,2020
3018,04/20/2020,03/18/2020,05/01/2020,"Pequena Estrella, LLC",San Francisco,San Francisco County,11.0,layoff temporary,2020
3019,04/21/2020,03/31/2020,05/01/2020,Barnaby Ltd dba Good Vibrations,Santa Cruz,Santa Cruz County,13.0,layoff temporary,2020
3020,04/17/2020,04/12/2020,05/01/2020,Dick's Sporting Goods Store #1047,Redding,Shasta County,34.0,layoff temporary,2020
3021,04/17/2020,04/12/2020,05/01/2020,Dick's Sporting Goods Store #1049,Santa Rosa,Sonoma County,37.0,layoff temporary,2020
3022,04/09/2020,04/09/2020,05/01/2020,Sleep Number,Oxnard,Ventura County,6.0,layoff temporary,2020
3023,04/21/2020,04/25/2020,05/01/2020,Great Pacific Child Development Center,Ventura,Ventura County,46.0,layoff temporary,2020
3024,04/21/2020,04/25/2020,05/01/2020,Great Pacific Iron Works,Ventura,Ventura County,14.0,layoff temporary,2020
3025,04/21/2020,04/25/2020,05/01/2020,Patagonia Works,Ventura,Ventura County,25.0,layoff temporary,2020
3026,04/17/2020,03/17/2020,04/30/2020,BACKROADS,Berkeley,Alameda County,66.0,layoff permanent,2020
3027,04/17/2020,03/17/2020,04/30/2020,Cable Connection,Fremont,Alameda County,20.0,layoff temporary,2020
3028,04/06/2020,04/07/2020,04/30/2020,"Goodwill Industries of the Greater East Bay,Inc.",Concord,Contra Costa County,139.0,layoff temporary,2020
3029,04/20/2020,04/26/2020,04/30/2020,SAINT AGNES MEDICAL CENTER/ALCO,Fresno,Fresno County,175.0,layoff temporary,2020
3030,04/20/2020,06/01/2020,04/30/2020,SAINT AGNES MEDICAL CENTER/ALCO,Fresno,Fresno County,16.0,layoff permanent,2020
3031,04/20/2020,06/01/2020,04/30/2020,SAINT AGNES MEDICAL CENTER/ALCO,Fresno,Fresno County,18.0,layoff permanent,2020
3032,04/20/2020,04/13/2020,04/30/2020,Applus RTD USA Services Inc.,Bakersfield,Kern County,56.0,layoff temporary,2020
3033,03/27/2020,03/30/2020,04/30/2020,Saje Natural Wellness,Venice,Los Angeles County,95.0,layoff temporary,2020
3034,04/23/2020,03/13/2020,04/30/2020,Bunim/Murray Productions,Glendale,Los Angeles County,118.0,layoff temporary,2020
3035,04/22/2020,04/20/2020,04/30/2020,Veolia North America LLC,Azusa,Los Angeles County,196.0,layoff temporary,2020
3036,04/23/2020,04/22/2020,04/30/2020,Crystal Cruises,Los Angeles,Los Angeles County,46.0,closure permanent,2020
3037,04/20/2020,03/20/2020,04/30/2020,"Flores Design Fine Furniture, Inc.",Vernon,Los Angeles County,130.0,layoff temporary,2020
3038,04/14/2020,04/16/2020,04/30/2020,Macy's Supply Chain Distribution Center,City of Industry,Los Angeles County,97.0,layoff temporary,2020
3039,04/14/2020,05/01/2020,04/30/2020,"MM Enterprises USA, LLC dba MedMen",Culver City,Los Angeles County,34.0,layoff permanent,2020
3040,04/13/2020,04/10/2020,04/30/2020,"Triage Partners CA, LLC (Paramount)",Paramount,Los Angeles County,15.0,layoff temporary,2020
3041,04/15/2020,04/16/2020,04/30/2020,El Caballero Country Club,Tarzana,Los Angeles County,77.0,layoff temporary,2020
3042,04/10/2020,04/03/2020,04/30/2020,"Intrawest Hospitality Management, LLC dbaThe Westin Monache Resort, Mammoth Lakes",Mammoth Lakes,Mono County,36.0,layoff temporary,2020
3043,04/20/2020,04/17/2020,04/30/2020,Esalen Institute,Big Sur,Monterey County,31.0,layoff temporary,2020
3044,04/13/2020,03/19/2020,04/30/2020,"Hotel Luca LLC, dba North Block Hotel andRedd Wood Restaurant",Yountville,Napa County,108.0,closure temporary,2020
3045,04/20/2020,04/20/2020,04/30/2020,Collins Aerospace Anaheim RefrigerationProducts,Anaheim,Orange County,91.0,layoff temporary,2020
3046,03/30/2020,03/17/2020,04/30/2020,"Company Picnic Specialists, Inc.",Orange,Orange County,25.0,layoff temporary,2020
3047,03/30/2020,03/17/2020,04/30/2020,"Irvine Park Concessions, Inc.",Orange,Orange County,27.0,layoff temporary,2020
3048,03/30/2020,03/17/2020,04/30/2020,Irvine Park Railroad,Orange,Orange County,107.0,layoff temporary,2020
3049,03/30/2020,03/17/2020,04/30/2020,"Irvine Park Rentals, Inc.",Orange,Orange County,13.0,layoff temporary,2020
3050,04/13/2020,04/10/2020,04/30/2020,"Triage Partners CA, LLC (Palm Desert)",Palm Desert,Riverside County,10.0,layoff temporary,2020
3051,04/17/2020,03/16/2020,04/30/2020,Victoria Club,Riverside,Riverside County,66.0,layoff type unknown,2020
3052,04/20/2020,04/25/2020,04/30/2020,Harvest Christian Fellowship,Riverside,Riverside County,159.0,closure temporary,2020
3053,04/15/2020,03/27/2020,04/30/2020,"Boot Barn, Inc.",Fontana,San Bernardino County,68.0,layoff temporary,2020
3054,04/13/2020,04/13/2020,04/30/2020,PSG California LLC,Grand Terrace,San Bernardino County,12.0,layoff permanent,2020
3055,04/13/2020,04/10/2020,04/30/2020,"Triage Partners CA, LLC (Rancho)",Rancho Cucamonga,San Bernardino County,25.0,layoff temporary,2020
3056,04/21/2020,04/24/2020,04/30/2020,Hi Tech Honeycomb,San Diego,San Diego County,51.0,layoff permanent,2020
3057,04/17/2020,04/17/2020,04/30/2020,Precision One Medical,Oceanside,San Diego County,62.0,layoff temporary,2020
3058,04/22/2020,04/30/2020,04/30/2020,"Viasat, Inc.",Carlsbad,San Diego County,131.0,layoff permanent,2020
3059,03/15/2020,03/15/2020,04/30/2020,Hotel Nikko San Francisco,San Francisco,San Francisco County,340.0,layoff temporary,2020
3060,04/13/2020,04/15/2020,04/30/2020,"MBP Titan, LLC",South San Francisco,San Mateo County,23.0,layoff temporary,2020
3061,04/13/2020,04/15/2020,04/30/2020,"MBP Titan, LLC",South San Francisco,San Mateo County,33.0,layoff permanent,2020
3062,04/17/2020,03/05/2020,04/30/2020,Pacific Aviation,Burlingame,San Mateo County,96.0,layoff temporary,2020
3063,04/24/2020,05/01/2020,04/30/2020,Sportsman's Warehouse,Milpitas,Santa Clara County,45.0,closure permanent,2020
3064,04/21/2020,05/04/2020,04/30/2020,Nutanix Inc.,Redding,Shasta County,8.0,layoff temporary,2020
3065,04/06/2020,04/07/2020,04/30/2020,"Goodwill Industries of the Greater East Bay,Inc.,",Fairfield,Solano County,89.0,layoff temporary,2020
3066,04/17/2020,04/12/2020,04/30/2020,Dick's Sportiung Goods Store #1048,Petaluma,Sonoma County,25.0,layoff temporary,2020
3067,04/20/2020,04/20/2020,04/30/2020,Picsolve Inc.,Simi Valley,Ventura County,19.0,layoff temporary,2020
3068,04/17/2020,04/19/2020,04/30/2020,"Lacoste USA, Inc.",Camarillo,Ventura County,11.0,layoff temporary,2020
3069,04/17/2020,03/23/2020,04/30/2020,"Beta Beauty, LLC",Oxnard,Ventura County,93.0,layoff temporary,2020
3070,04/17/2020,03/23/2020,04/30/2020,"ColourPop Cosmetics, LLC",Oxnard,Ventura County,344.0,layoff temporary,2020
3071,04/17/2020,03/23/2020,04/30/2020,Spatz Corporation,Oxnard,Ventura County,66.0,layoff temporary,2020
3072,04/21/2020,04/21/2020,04/30/2020,"ColourPop Cosmetics, LLC",Oxnard,Ventura County,1.0,layoff temporary,2020
3073,04/21/2020,03/20/2020,04/30/2020,"Sysco San Francisco, Inc.",Fremont,Alameda County,183.0,layoff temporary,2020
3074,04/03/2020,04/06/2020,04/30/2020,Mann Packing Manufacturing,Salinas,Monterey County,29.0,layoff temporary,2020
3075,04/17/2020,03/27/2020,04/30/2020,"Pacific Coast Sightseeing Tours & Charters,Inc.",Anaheim,Orange County,52.0,layoff temporary,2020
3076,04/16/2020,04/10/2020,04/30/2020,Bon Appetit Management Company,Santa Clara,Santa Clara County,120.0,layoff temporary,2020
3077,04/13/2020,04/10/2020,04/30/2020,Hyatt Regency Sonoma Wine Country,Santa Rosa,Sonoma County,77.0,layoff temporary,2020
3078,04/17/2020,04/12/2020,04/30/2020,Dick's Sporting Goods store #1072,Pleasant Hill,Contra Costa County,35.0,layoff temporary,2020
3079,04/20/2020,04/13/2020,04/30/2020,Trinity Health Corporation,Fresno,Fresno County,7.0,layoff temporary,2020
3080,04/09/2020,03/27/2020,04/30/2020,El Centro Motors,El Centro,Imperial County,8.0,layoff temporary,2020
3081,04/09/2020,03/27/2020,04/30/2020,El Centro Motors dba Quick Lane Tire & AutoCenter,Brawley,Imperial County,1.0,layoff permanent,2020
3082,04/21/2020,03/19/2020,04/30/2020,Westin Bonaventure Hotel & Suites,Los Angeles,Los Angeles County,51.0,layoff type unknown,2020
3083,03/17/2020,03/17/2020,04/30/2020,Hof's Hut Restaurants dba Lucille'sSmokehouse Bar-B-Que,Cerritos,Los Angeles County,67.0,layoff temporary,2020
3084,04/17/2020,04/12/2020,04/30/2020,"Dick's Sporting Good's, Inc.",Huntington Beach,Orange County,46.0,layoff temporary,2020
3085,04/20/2020,04/22/2020,04/30/2020,Citadel Servicing Corporation,Irvine,Orange County,108.0,layoff type unknown,2020
3086,04/20/2020,04/20/2020,04/30/2020,Pacific Dental Services LLC,Irvine,Orange County,28.0,layoff temporary,2020
3087,03/17/2020,03/17/2020,04/30/2020,Hof's Hut Restaurants Inc. dba Lucille'sSmokehouse Bar-B-Que,Rocklin,Placer County,65.0,layoff temporary,2020
3088,04/13/2020,04/11/2020,04/30/2020,Acrredited Debt Relief Inc.,San Diego,San Diego County,263.0,layoff temporary,2020
3089,04/13/2020,03/18/2020,04/30/2020,Neck and Back Chiropractic Clinic,Campbell,Santa Clara County,3.0,layoff temporary,2020
3090,04/22/2020,03/16/2020,04/30/2020,Daley's Drywall,Campbell,Santa Clara County,169.0,layoff temporary,2020
3091,03/26/2020,03/26/2020,04/30/2020,Soft Shell,Petaluma,Sonoma County,10.0,layoff temporary,2020
3092,04/17/2020,04/12/2020,04/30/2020,"Dick's Sporting Goods, Inc.",Modesto,Stanislaus County,29.0,layoff temporary,2020
3093,04/09/2020,06/30/2020,04/29/2020,"Agro Merchants Oakland, LLC",Oakland,Alameda County,22.0,closure permanent,2020
3094,04/16/2020,04/17/2020,04/29/2020,Electro Rent Corporation,Hayward,Alameda County,2.0,layoff temporary,2020
3095,04/13/2020,03/17/2020,04/29/2020,"Moana Bishop Ranch Service Corp, dbaRoundhouse Market & Conference Center",San Ramon,Contra Costa County,105.0,layoff temporary,2020
3096,04/08/2020,04/08/2020,04/29/2020,CarMax Bakersfield,Bakersfield,Kern County,196.0,layoff temporary,2020
3097,04/17/2020,04/17/2020,04/29/2020,Live Nation,Beverly Hills,Los Angeles County,14.0,layoff temporary,2020
3098,04/15/2020,03/27/2020,04/29/2020,Lucky Strike Hollywood Inc,Los Angeles,Los Angeles County,51.0,layoff permanent,2020
3099,04/15/2020,03/27/2020,04/29/2020,Lucky Strike Hollywood Inc,Los Angeles,Los Angeles County,63.0,layoff temporary,2020
3100,04/16/2020,03/13/2020,04/29/2020,"Anschutz L.A. Soccer, Inc. - LA Galaxy",Carson,Los Angeles County,211.0,layoff temporary,2020
3101,04/16/2020,03/13/2020,04/29/2020,"Anschutz Southern Califorina Sports ComplexLLC, dba Dignity Health Sports Park",Carson,Los Angeles County,299.0,closure temporary,2020
3102,04/17/2020,03/16/2020,04/29/2020,Raddusa LLC dba Angelini Alimentari,Los Angeles,Los Angeles County,28.0,closure temporary,2020
3103,04/17/2020,03/16/2020,04/29/2020,"Rimini, Inc. dba Angelini Osteria",Los Angeles,Los Angeles County,46.0,closure temporary,2020
3104,04/13/2020,03/16/2020,04/29/2020,"Sam's Main Street LLC, dba Sam's AnchorCaf&eacute;",Tiburon,Marin County,68.0,layoff temporary,2020
3105,04/08/2020,04/08/2020,04/29/2020,CarMax Buena Park,Buena Park,Orange County,298.0,layoff temporary,2020
3106,04/07/2020,03/28/2020,04/29/2020,Goodwill Industries of Orange County,Santa Ana,Orange County,64.0,layoff temporary,2020
3107,04/07/2020,03/28/2020,04/29/2020,Goodwill Industries of Orange County,Santa Ana,Orange County,122.0,layoff type unknown,2020
3108,04/07/2020,03/28/2020,04/29/2020,Goodwill Industries of Orange County,Santa Ana,Orange County,701.0,layoff temporary,2020
3109,04/15/2020,04/05/2020,04/29/2020,Dita Inc,Aliso Viejo,Orange County,20.0,layoff temporary,2020
3110,04/13/2020,04/13/2020,04/29/2020,Worldwide Golf Enterprises Inc. dba RogerDunn Golf Shops,Santa Ana,Orange County,85.0,layoff temporary,2020
3111,04/15/2020,03/27/2020,04/29/2020,Lucky Strike Orange,Orange,Orange County,25.0,layoff permanent,2020
3112,04/15/2020,03/27/2020,04/29/2020,Lucky Strike Orange,Orange,Orange County,36.0,layoff temporary,2020
3113,04/13/2020,03/18/2020,04/29/2020,"Mosiac Hotel Service Corporation, dba ColonyPalms Hotel",Palm Springs,Riverside County,73.0,layoff temporary,2020
