,notice_title,URL,Date of Notice, Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name, Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Amended
3288,Sterling National Bank - Long Island Region & New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6184, 1/9/2018, 2017-0196, Fredercik DanksRapid Response Specialist: Stuart Goldberg, Plant Closing,"      Sterling National Bank269 Middle Country RoadCoram, NY 11727", Suffolk , NEW YORK CITY , New York City," Gary Zimbalatti, First Vice President, Director HR Business Partners", (516) 327-7624, Banking Services,1,5, 4/9/2018, To be determined, Acquisition of Astoria Bank by Sterling National Bank, 13-1726107, The affected workers are not represented by a union., Plant Closing,
3289,Prompt Direct Inc. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6320, 4/4/2018, 2017-0320, Stuart Goldberg, Plant Closing," Prompt Direct Inc. 66 Willow Avenue Staten Island, NY 10305", New York , NEW YORK CITY , New York City," Andrew Masucci, CEO", (718) 447-6206 Ext: 117, Marketing agency,49,49," The affected employees will be terminated on or about July 3, 2018.",  7/3/2018, Economic, 13-2972895, The affected workers are not represented by a union., Plant Closing,
3290,Chartwells Dining Services at The New School - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6266, 3/14/2018, 2017-0262, Stuart Goldberg, Plant Closing," Chartwells Dining Services at The New School 66 W 12th Street New York City, NY 10011", New York , NEW YORK CITY , New York City, Andrew Pappas, (973) 303-7492, Dining Services,51,51, 7/1/2018, 7/1/2018, Loss of the food service contract on campus, 56-1874931," UNITE HERE, Local 100", Plant Closing,
3291,"Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6393, 12/29/2017                          Amended: 6/1/2018, 2017-0179, Stuart Goldberg, Plant Unit Closing," Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units)1 Bulova AvenueWoodside, NY 11377", Queens , NEW YORK CITY , New York City," Seth Presser, General Counsel", (212) 497-9795, Warehousing/Distribution and after sales service,59, -----," Employment separations are expected to commence on or about March 29, 2018 or within 14 days thereafter. One remaining affected worker’s employment in the distribution operating unit will be extended to August 31, 2018.", 8/31/2018, Economic, 95-2934490, Independent Production Maintenance and Service Employees Union, Plant Unit Closing,                         Amended: 6/1/2018
3292,Sitel Operating Corporation (Painted Post) - Southern Region,https://labor.ny.gov/app/warn/details.asp?id=6452, 7/10/2018, 2018-0004, Vikki Kaufman, Plant Unit Closing," Sitel Operating Corporation (Painted Post)101 Canada RoadPainted Post, NY 14870", Steuben , CSS , Southern," Kendra Southard-Austin, HR Business Partner", (607) 936-5721," Business process outsourcing company, provides telephone call center services",184,184," The last day of business will be between October 7 and October 21, 2018.", Between 10/7/2018 and 10/21/2018, Departure of a client campaign, 16-1364816, The employees are not represented by a union., Plant Unit Closing,
3293,Kmart Corporation (Store #7044) - North Country Region,https://labor.ny.gov/app/warn/details.asp?id=6178, 1/4/2018, 2017-0190, Stacey Fuller, Plant Closing,"      Kmart Corporation (Store #7044)57 Centre DrivePlattsburgh, NY 12901", Clinton , C-E-F-H , North Country Region," Mike Smith, Regional HR Director", (630) 364-9036, Retail,67,67," Separations are expected to occur on April 08, 2018, or during the 14-day period commencing on that date.", 4/8/2018, Economic, 36-1750680, The affected workers are not represented by a union., Plant Closing,
3294,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6387, 3/15/2018                            Amendment: 5/29/2018, 2017-0269, Frederick Danks, Plant Closing," Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us117 Old Country RoadCarle Place, NY 11514", Nassau , OYSTER BAY , Long Island," Kara Sabino, Vice President", (973) 617-5293," Hobby, Toy and Game Store",70,70," The separations are being extended from June 13, 2018 and will occur on or during a 14-day period beginning on June 16, 2018.", 6/16/2018, Economic, 13-5159250, The affected workers are not represented by a union., Plant Closing,                           Amendment: 5/29/2018
3295,Sterling National Bank - New York City Region / Long Island Region / Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=6514, 9/6/2018, 2018-0068," Stuart Goldberg, Frederick Danks, Sherry Young", Plant Layoff," Sterling National Bank 290 Broadhollow RoadMelville, NY 11747", New York , ROCKLAND , Mid-Hudson," Gary Zimbalatti, First Vice President, Director HR Business Partners", (516) 327-7624, Financial Institution,2,30," The employee separations will occur in stages, with this stage expected to commence during the 14-day period starting on December 5, 2018. Additional stages will commence during the 14-day period starting on December 6, 2018 and December 12, 2018.",, Acquisition of Astoria Bank by Sterling National Bank., 13-1726107, The affected workers are not represented by a union., Plant Layoff,
3296,Courtyard by Marriott LaGuardia Hotel - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6208, 6/28/2017                                        Amendment: 1/28/2018, 2016-0299, Stuart Goldberg, Plant Closing,"      Courtyard by Marriott LaGuardia Hotel90-10 Grand Central ParkwayEast Elmhurst, NY 11368", Queens , NEW YORK CITY , New York City," Mark Ranieri, General Manager", (718) 308-4803, Hotel,140,140," The closure of the hotel and permanent layoff of all employees is being extended from January 28, 2018 until on or about February 11, 2018.", 02/11/2018, Economic, 06-1555126," New York Hotel & Motel Trades Council, AFL-CIO", Plant Closing,                                       Amendment: 1/28/2018
3297,Gannett Publishing Services - Southern Region,https://labor.ny.gov/app/warn/details.asp?id=6272, 3/16/2018, 2017-0271, Vikki Kaufman, Plant Closing,"      Gannett Publishing Services10 Gannett DriveJohnson City, NY 13790", Broome , BROOME/TIOGA , Southern Region," Bonnie Still, Human Resources Business Partner", (856) 486-2591, Commercial Printing,93,93," The affected employees will terminate during a 14-day period commencing on June 16, 2018.", 6/16/2018, Economic, 45-3829401, The affected workers are not represented by a union., Plant Closing,
3298,"Bigname Commerce, LLC - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6538, 9/24/2018, 2018-0090, Frederick Danks, Plant Closing," Bigname Commerce, LLC5300 New Horizons BlvdAmityville, NY 11701", Suffolk , SUFFOLK , Long Island," Joanna Hall, HR Business Partner, Compass Workforce Solutions", (631) 794-7415, Stationary Product Manufacturing,41,41," The first separation will be December 23, 2018, and separations will occur within a 14-day period from this first date of separation.", 12/23/2018," Combining the Company's warehouse-related functions and consolidating into one warehouse facility in Syracuse, New York.", 47-3341401, The employees are not represented by a union., Plant Closing,
3299,JJC Food Corp. - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=6224, 1/31/2018, 2017-0236, Frederick Danks, Plant Closing,"      JJC Food Corp.120 South BroadwayHicksville, NY 11801", Nassau , OYSTER BAY , Long Island," Pedro Vizcaino, Company official", (860) 574-4271, Grocery Stores business,38,38, 2/9/2018, 2/9/2018, Weather related, 20-5843113, The affected workers are not represented by a union., Plant Closing,
3300,"Triangle Aviation Services, Inc.  - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6362, 5/1/2018, 2017-0361, Stuart Goldberg, Plant Closing," Triangle Aviation Services, Inc. (at JFK Airport, Terminal 8 - LATAM Airline Group) John F. Kennedy Airport, Terminal 8 Jamaica, NY 11430", Queens , NEW YORK CITY , New York City," Venise Kelly, Director of Human Resources", (516) 821-1202, Perform ramp and cabin cleaning services,85,85, 8/1/2018, 8/1/2018,  Loss of contract with LATAM Airline Group, ----, TWU Local 504,  Plant Closing,
3301,St. John Villa Academy - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6404, 5/31/2018                                      Amended: 6/5/2018, 2017-0378, Stuart Goldberg, Plant Closing,"      St. John Villa Academy57 Cleveland PlaceStaten Island, NY 10305", Richmond , NEW YORK CITY , New York City," Nicholas F. Mazza, PhD, Director of Administration", (718) 447-4150 Ext: 131, School,71,71," The expected date of the first separations is June 30, 2018, with subsequent separations expected to occur on August 31, 2018, September 4, 2018 and December 31, 2018.", 8/31/2018, Economic, 13-5604691, Federation of Catholic Teachers, Plant Closing,                                     Amended: 6/5/2018
3302,"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6632, 7/13/2018                                  Amended: 12/18/2018, 2018-0006, Stuart Goldberg, Plant Closing," Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)560 Fifth Avenue, 3rd FloorNew York, NY 10036", New York , NEW YORK CITY , New York City," Ann Martinez, CFO", (212) 560-1658, Restaurants,86,86, Layoffs postponed from a 14-day period beginning on 12/31/2018 to a 14-day period beginning on 1/31/2019., 1/31/2019, Expiration of lease, 13-3031720, The employees are not represented by a union., Plant Closing,                                 Amended: 12/18/2018
3303,"Mattel, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6318, 4/9/2018, 2017-0318, Stuart Goldberg, Plant Closing," Mattel, Inc. 675 Avenue of the Americas New York, NY 10010", New York , NEW YORK CITY , New York City," Justin Robinson, Vice President Human Resources", (716) 687-3670, Toy manufacturing company,143,143," The first of any employment losses are expected to occur on July 13, 2018.", 8/31/2018, Economic, 95-4658541, The affected workers are not represented by a union., Plant Closing,
3304,Maritima LLC dba LaSirena - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6542, 9/25/2018, 2018-0094, Stuart Goldberg, Plant Closing," Maritima LLC dba LaSirena88 9th AvenueNew York, NY 10011", New York , NEW YORK CITY , New York City," Missy Adriazola, Director of Employee Relations", (646) 556-5467, Restaurant,140,140, 12/31/2018, 12/31/2018, Economic, 47-1419941, The employees are not represented by a union., Plant Closing,
3305,People Inc. (Lincoln Avenue) - Western Region,https://labor.ny.gov/app/warn/details.asp?id=6297, 3/29/2018, 2017-0289, Michele Taylor, Plant Layoff,"      People Inc.181 Lincoln AvenueDepew, NY 14043", Erie , ERIE , Western Region, Kate Alterio, (716) 817-7406," Providing services to those with special needs, their families, and seniors.",9, -----, 6/30/2018, -----," Transition to a new entity called Person Centered Services Care Coordination Organization, Inc.", 16-0975538, The affected workers are not represented by a union., Plant Layoff,
3306,Newsday LLC - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=6283, 3/22/2018, 2017-0276, Frederick Danks, Plant Unit Closing,"       Newsday LLC 235 Pinelawn Road Melville, NY 11747", Suffolk , SUFFOLK , Long Island," Donna Cesarani, Director, Human Resources", (631) 843-2654, Newspaper print and distribution,4,1423, This Phase 5 employee separations is expected to occur during the 14- day period starting on 6/25/2018., October 2018, Economic, 26-2913173," Local 406, Graphic Communications Conference, International Brotherhood of Teamsters", Plant Unit Closing,
3307,"Compass Group USA, Inc. d/b/a Chartwells (at Molloy College) - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6556, 10/2/2018, 2018-0115, Frederick Danks, Plant Closing," Compass Group USA, Inc. d/b/a Chartwells (at Molloy College)1000 Hempstead AvenueRockville Center, NY 11571", Nassau , HEMPSTEAD , Long Island," Bryan Larios, Director of Dining Services", (917) 400-1689, Food Services,26,26, 9/28/2018, 9/28/2018, Contract termination, 56-1874931, UNITE HERE Local 100, Plant Closing,
3308,"Center for Nursing & Rehabilitation, Inc. (CNR) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6376, 5/15/2018, 2017-0370, Stuart Goldberg, Plant Closing,"      Center for Nursing & Rehabilitation, Inc. (CNR)520 Prospect PlaceBrooklyn, NY 11238", Kings , NEW YORK CITY , New York City," David Silva, CRPO, Senior Vice President Human Resources", (347) 920-7277, Rehabilitation center,305,305," The closing will occur sometime during the period of June 4 to 18, 2018.", 6/18/2018, The purchaser intends to continue the facility's operations and will be offering employment to substantially all employees employed at CNR, 11-2289702, 1199 SEIU United Healthcare Workers East, Plant Closing,
3309,Sam's Club (#8171) - Central Region,https://labor.ny.gov/app/warn/details.asp?id=6189, 1/11/2018, 2017-0198, Karl Price, Plant Closing,"      Sam's Club (#8171)2649 Erie Blvd ESyracuse, NY 13224", Onondaga , ONONDAGA , Central Region," Toni Budrow, Field People Partner", (479) 402-5078, Wholesale retail store,151,151," The Club will close to the public on January 26, 2018. All hourly employees at this facility will be terminated effective April 13, 2018. All management employees at the facility will be terminated on May 11, 2018.", 1/26/2018, Economic, -----, The affected workers are not represented by a union., Plant Closing,
3310,The New York LaGuardia Airport Marriott - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6230, 10/11/2017 Amendment: 1/18/2018, 2017-0165, Stuart Goldberg, Plant Closing," The New York LaGuardia Airport Marriott 102-05 Ditmars Bivd East Elmhurst, NY 11369", Queens , NEW YORK CITY , New York City," Sandra Nunez, Director of Human Resources", (718) 533-3074, Hotel,140,140," The closure of the hotel and permanent layoff of all employees is being extended from February 9, 2018 until on or about February 24, 2018.", 2/24/2018, Extensive renovations at the hotel, 20-5978431, The affected workers are not represented by a union., Plant Closing,Amendment: 1/18/2018
3311,"Sears, Roebuck and Co. Full Line Store #01004 - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6577, 10/15/2018, 2018-0136, Frederick Danks, Plant Closing," Sears, Roebuck and Co. Full Line Store #01004 1111 Franklin Ave Garden City, NY 11530", Nassau , HEMPSTEAD , Long Island," Aimee Grabau, HR DVP", (847) 286-1427, Retail Store,126,126," Employment separations will occur on January 31, 2019 or during a 14-day period beginning on that date.", 1/31/2019, Economic, 36-1750680, The employees are not represented by a union., Plant Closing,
3312,Exelon - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=6431, 6/27/2018, 2017-0420, Sherry Young, Plant Layoff,"      Exelon 500 Summit Lake Drive, Suite 1008Valhalla, NY 10595", Westchester , WESTCH/PTNM , Mid-Hudson Region," Lauren Martin, Director, Human Resources", (410) 470-4071, Energy provider,25,52, 9/24/2018 (24); 10/31/2018 (1), -----, Centralization of functions and consolidation of systems., 23-3063219, The employees are not represented by a union., Plant Layoff,
3313,Laboratory Corporation of America Holdings - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6482, 8/8/2018, 2018-0033, Stuart Goldberg, Plant Layoff," Laboratory Corporation of America Holdings(on behalf of its subsidiary company, Esoterix Genetics Laboratories, LLC dba Integrated Oncology) 521 West 57 Street New York, NY 10019", New York , NEW YORK CITY , New York City," James Luisi, Human Resources Manager", (212) 485-0789, Medical Laboratory,129,173," Separations will occur during the 14-day period commencing on November 8, 2018", -----," The relocation of operations will result in the permanent elimination of positions assigned to the Accessioning, Administration, Anatomical Pathology, Client Services, Cytogenetics, Distribution, FISH, Flow Cytometry, Histology, Molecular, Oncology Genetics and Quality departments.", 13-3757370, The employees are not represented by a union., Plant Layoff,
3314,"Harbor Footwear Group, Ltd. - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6357, 5/1/2018, 2017-0359, Frederick Danks, Plant Closing,"      Harbor Footwear Group, Ltd.55 Harbor Park DrivePort Washington, NY 11050", Nassau , HEMPSTEAD , Long Island," Charles H. Kaplan, Esq.,at Sills Cummis & Gross P.C.", (212) 500-1563," Footwear Merchant, Wholesaler",53,53, 7/31/2018, 7/31/2018, Economic, 13-2648196, The employees are not represented by a union., Plant Closing,
3315,"EngenderHealth, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6211, 1/25/2018, 2017-0227, Sturart Goldberg, Plant Closing,"      EngenderHealth, Inc.440 Ninth AvenueNew York, NY 10001", New York , NEW YORK CITY , New York City," Steven D. Wheeless, Partner, Steptoe & Johnson LLP", (602) 257-5234, Family planning center,45,45, 4/30/2018, 4/30/2018," Relocation of operations to Washington, DC", 13-1623838," Office of Professional Employees International Union, AFL-CIO, Local 153", Plant Closing,
3316,"Shiel Holdings, LLC (Shiel Medical Laboratory (a division of Fresenius Medical Care, NA) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6205, 9/27/2017 Amendment: 1/23/2018, 2017-0085,  Stuart Goldberg,  Plant Closing,"  Shiel Holdings, LLC (Shiel Medical Laboratory (a division of Fresenius Medical Care, NA) Brooklyn Navy Yard, Building 292 63 Flushing Avenue Brooklyn, NY 11205", Kings , NEW YORK CITY , New York City," Sheryl Morgan, Director, Human Resources", (201) 767-7070 Ext. 5845, Medical Laboratory, 239 ( 208 affected workers at 63 Flusing Ave. site; 31 affected workers at the other NY locations),239," 12/31/2017 (Separation for one affected worker postponed from January 31, 2018 to March 31, 2018.)", 12/31/2017, Economic, 46-3809062, The affected workers are not represented by a Union.,  Plant Closing,Amendment: 1/23/2018
3317,Newsday LLC - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=6519, 6/28/2018                                   Amended: 9/14/2018, 2017-0421, Frederick Danks, Plant Unit Closing,"Newsday LLC235 Pinelawn Road Melville, NY 11747", Suffolk , SUFFOLK , Long Island," Donna Cesarani, Director, Human Resources", (631) 843-2654, Newspaper print and distribution,369,"1,215", This Phase 8 employee separations is expected to occur during the 14-day period starting on 10/1/2018. The separation date for 106 employees has been extended from the 14-day period starting on 10/1/2018 to the 14-day period starting on 12/16/2018., 12/31/2018, Economic, 26-2913173," Local 406, Graphic Communications Conference, International Brotherhood of Teamsters", Plant Unit Closing,                                  Amended: 9/14/2018
3318,Sterling National Bank - Port Washington Financial Center - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=6343, 4/23/2018, 2017-0346, Frederick Danks, Plant Closing," Sterling National Bank – Port Washington Financial Center 110 Main Street Port Washnington, NY 11050", Nassau , OYSTER BAY/NO. HEMPSTEAD/GLEN COVE, Long Island," Gary Zimbalatti,  First Vice President, Director HR Business Partners", (516) 327-7624, Financial Institution,1,4," The employee separations will occur in stages, with this stage expected to commence during the 14-day period starting on 7/24/2018.", To be Determined, Acquisition of Astoria Bank by Sterling National Bank, 13-1726107, The affected employees are not represented by a union., Plant Closing,
3319,"Blue Ridge Capital, L.L.C. - New York City Region & Mid-Hudson Regigon",https://labor.ny.gov/app/warn/details.asp?id=6175, 12/28/2017, 2017-0184, Stuart GoldbergRapid Response Specialist: Rossy Mateo, Plant Closing,"      Blue Ridge Capital, L.L.C.660 Madison AvenueNew York, NY 10065", New York , WESTCH/PTNM , Mid-Hudson Region," Diana Petrassi, Director of Human Resources", (212) 446-6294, Real estate investment company,17, 55 (total affected workers at the two sites), 3/31/2018, 3/31/2018, Economic, ----, The affected workers are not represented by a union., Plant Closing,
3320,Kmart Store #04868  (Kmart Corporation) - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=6496, 8/21/2018, 2018-0045, Frederick Danks, Plant Closing," Kmart Store #04868 (Kmart Corporation)605 Old Country RoadRiverhead, NY 11901", Suffolk , SUFFOLK , Long Island," Anthony Nass, Region HR Director", (847) 257-5068, Retail Store,65,65," We anticipate that all the employment separations will occur on November 25, 2018 or during a 14-day period beginning on that date.", 11/25/2018, Economic, 38-0729500, The employees are not represented by a union., Plant Closing,
3321,Barclays Services Corp. (Chief Operating Office teams) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6339, 4/9/2018                                 Amended: 4/23/2018, 2017-0322, Stuart Goldberg, Plant Layoff,"      Barclays Services Corp. (Chief Operating Office teams)745 Seventh AvenueNew York, NY 10019", New York , NEW YORK CITY , New York City," Linda Fox, Director, Employee Relations", (212) 526-5862, Banking,112, -----," The first wave of employee transfers to the Whippany, New Jersey office and employee separations (if any) are scheduled to begin on July 9, 2018 and be completed by September 7, 2018.", -----," Relocation of a number of the Chief Operating Office teams to Whippany, New Jersey.", 13-3714398, The affected workers are not represented by a union., Plant Layoff,                                Amended: 4/23/2018
3322,"Capital One, N.A. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6425, 6/19/2018," 2017-0410, 2017-0415", Stuart Goldberg, Plant Closings and Layoffs,"      Capital One, N.A.- Boroughs Central and Manhattan South MarketVarious New York City Sites", Kings , NEW YORK CITY , New York City," Jan Snead, Human Resources", (804) 814-6380, Bank,58, -----, Layoffs will occur on 9/21/2018 and 10/5/2018., Closings will occur on 9/21/2018 and 9/22/2018., Economic, 72-0210640, The employees are not represented by a union., Plant Closings and Layoffs,
3323,"Federated Payment Systems, LLC - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6563, 10/10/2018, 2018-0125, Frederick Danks, Plant Layoff," Federated Payment Systems, LLC1 Huntington QuadrangleMelville, NY 11747", Suffolk , SUFFOLK , Long Island," Ann Slaven, Human Resources/Payroll Manager", (631) 270-7521, Provider of credit card processing solutions,47,81," The employment separations are expected to occur on or about January 8, 2019.", -----," Purchased by EVO Merchant Services, LLC.", 33-1074017, The employees are not represented by a union., Plant Layoff,
3324,"Greenbriar Associates, LLC dba Residence Inn by Marriott - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6569, 10/11/2018, 2018-0130, Frederick Danks, Plant Closing," Greenbriar Associates, LLC dba Residence Inn by Marriott9 Gerhard RoadPlainview, NY 11803", Nassau , OYSTER BAY , Long Island," Donald Monti, Managing Partner", (516) 433-6200, Hotel,80,80, 1/11/2019, 1/11/2019, Non-renewal of franchise agreement by Marriott, 11-2843201, The employees are not represented by a union., Plant Closing,
3325,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6275, 3/15/2018, 2017-0268, Stuart Goldberg, Plant Closing," Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us 610 Exterior Street Bronx, NY 10451", Bronx , NEW YORK CITY , New York City," Kara Sabino, Vice President", (973) 617-5293," Hobby, Toy and Game Store",69,69, 6/13/2018, 6/13/2018,  Economic, 13-5159250, The affected workers are not represented by a union., Plant Closing,
3326,Emerald South Nursing & Rehabilitation Center - Western Region,https://labor.ny.gov/app/warn/details.asp?id=6619, 11/19/2018, 2018-0180, Michele Taylor, Plant Closing," Emerald South Nursing & Rehabilitation Center 1175 Delaware Ave Buffalo, NY 14209", Erie , ERIE , Western," Dan Muskin, Regional Vice President", (718) 215-6000, Nursing Care Facility,160,160," Layoffs are anticipated to begin in conjunction with resident discharges, which began the week of 11/12/2018. All employees will be terminated from employment no later than January 31, 2019.", 11/8/2018, Economic, 45-5559878, 1199 SEIU United Healthcare Workers East, Plant Closing,
3327,Eastman Kodak Company (Kodak Office) - Finger Lakes Region,https://labor.ny.gov/app/warn/details.asp?id=6333, 4/3/2018, 2017-0332, Regenna Darrah, Plant Layoff," Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY 14650", Monroe , MONROE , Finger Lakes Region," Pamela J. Fantauzzo, HR Specialist", (585) 724-7080, Photographic equipment and Supplies,1, -----, 7/1/2018, -----, Economic, 16-0417150, The affected worker is not represented by a union., Plant Layoff,
3328,Canandaigua Hotel Corporation dba the Inn on the Lake (IOTL) - Finger Lakes Region,https://labor.ny.gov/app/warn/details.asp?id=6455, 7/13/2018, 2018-0007, Regenna Darrah, Plant Closing," Canandaigua Hotel Corporation dba the Inn on the Lake (IOTL)770 South Main StreetCanandaigua, NY 14424", Ontario , FINGER LAKES , Finger Lakes," Roger Miller, Director of Accounting and Finance", (585) 394-7800 Ext: 504, Waterfront Resort and Conference Center,202,202, Employment separations are expected to occur on or about 10/15/2018 or within 14 days thereafter., 10/15/2018, Renovations to the IOTL, 16-1458107, The employees are not represented by a union., Plant Closing,
3329,Easter Seals New York (Intermediate Care Facilities at 4 Kessler Centers) - Finger Lakes Region,https://labor.ny.gov/app/warn/details.asp?id=6349, 4/20/2018, 2017-0343, Regenna Darrah, Plant Closing,"      Easter Seals New York(Intermediate Care Facilities at 4 Kessler Centers)302 Daley BlvdRochester, NY 14617", Rochester , MONROE , Finger Lakes Region," Devon Bryan Director, Human Resources", (212) 727-4345, Helps people with disabilities with therapy,22, 78 (total at all 4 sites), 7/20/2018, 7/20/2018, Economic, 13-5596808," Local 86, International Brotherhood of Electrical Workers", Plant Closing,
3330,Sears Full Line Store (Unit #01584) - Finger Lakes Region,https://labor.ny.gov/app/warn/details.asp?id=6513, 8/22/2018, 2018-0066, Regenna Darrah,  Plant Closing," Sears Full Line Store (Unit #01584) 200 Eastview Mall Victor, NY 14564", Ontario , FINGER LAKES , Finger Lakes Region," Miyoshi Kilgore, Market Human Resources Manager", (215) 262-7647, Retail Store,41,41," Separations will occur on November 25, 2018 or during a 14-day period beginning on that date.", 11/25/2018, Economic, 36-1750680, The employees are not represented by a union., Plant Closing,
3331,Eastman Kodak Company (Kodak Office) - Finger Lakes Region,https://labor.ny.gov/app/warn/details.asp?id=6507, 8/21/2018, 2018-0063, Regenna Darrah, Plant Layoff," Eastman Kodak Company (Kodak Office)343 State StreetRochester, NY 14650", Monroe , MONROE , Finger Lakes," Pamela J. Fantauzzo, HR Specialist", (585) 724-7080, Photographic equipment and Supplies,1, -----, 11/18/2018, -----, Economic, 16-0417150, The employees are not represented by a union., Plant Layoff,
3332,"Volunteers of America-Greater New York, Inc. (Residential Services Program) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6394, 5/25/2018, 2017-0385, Stuart Goldberg, Plant Unit Closing," Volunteers of America-Greater New York, Inc. (Residential Services Program)260 Christopher Lane, Suite 3FStates Island, NY 10314", Richmond , NEW YORK CITY , New York City," Denise Sullivan, Human Resources Manager", (212) 496-4396, Provides staff support and supervision to adults with all ranges of intellectual/developmental disablilites,91,91, 7/31/2018, 7/31/2018, Economic, 58-1959781, The employees are not represented by a union., Plant Unit Closing,
3333,Envolve - New York Inc. - Finger Lakes Region,https://labor.ny.gov/app/warn/details.asp?id=6441, 6/27/2018, 2017-0425, Regenna Darrah, Plant Closing,"Envolve - New York Inc.370 Woodcliff DriveFairport, NY 14450", Monroe , MONROE , Finger Lakes," John Kitson, VP, Human Resources", (314) 725-4477, Healthcare Services,163,163, 9/30/2018, 9/30/2018, Transfer of services to Excellus Blue Cross Blue Shield, 47-3454898, The employees are not represented by a union., Plant Closing,
3334,Sterling National Bank - Penn Plaza Financial Center - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6327, 4/16/2018, 2017-0329, Stuart Goldberg, Plant Closing,"      Sterling National Bank - Penn Plaza Financial Center7 Penn PlazaNew York, NY 10001", New York , NEW YORK CITY , New York City," Gary Zimbalatti, First Vice President, Director HR Business Partners", (516) 327-7624, Financial Institution,1, -----," The employee separations will occur in stages, with this stage expected to commence during the 14-day period starting on 7/17/2018.", To be Determined, Acquisition of Astoria Bank by Sterling National Bank, 13-1726107, The affected workers are not represented by a union., Plant Closing,
3335,ResCare (Service Provider for South Bronx Job Corps Academy) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6261, 3/8/2018, 2017-0257, Stuart Goldberg, Plant Closing,"      ResCare (Service Provider for South Bronx Job Corps Academy)1771 Andrews Ave.Bronx, NY 10453", Bronx , NEW YORK CITY , New York City," Helena Parks, ResCare Regional Human Resources Manager", (502) 694-5756, Provides services and support for Brooklyn and South Bronx Job Corps,109,109, 3/31/2018, 3/31/2018, Transition of service to another provider, 61-0875371, The affected workers are not represented by a union., Plant Closing,
3336,"Avon Products, Inc. - Mid-Hudson Region",https://labor.ny.gov/app/warn/details.asp?id=6526, 9/17/2018, 2018-0079, Sherry Young, Plant Closng," Avon Products, Inc.601 Midland Ave.Rye, NY 10580", Westchester , WESTCH/PTNM , Mid-Hudson," Jennifer Purcell, Director, Human Resources", (914) 935-2670," Direct selling company in beauty, household, and personal care categories.",105,105," Separations will occur between December 28, 2018 and May 31, 2019.", 9/30/2019, Economic, 13-0544597, The employees are not represented by a union., Plant Closing,
